time_s,delayed_power_perturbation_pct,SOURCE_FROZEN_1STATE,PREFIX_IDENTIFIED_1STATE,STATIC_GAIN_NEGCONTROL,D13_SHAPE_PREFIX_GAIN_DIAGNOSTIC,observed_lowpass_g,LP_SOURCE_FROZEN_1STATE,LP_PREFIX_IDENTIFIED_1STATE,LP_STATIC_GAIN_NEGCONTROL,LP_D13_SHAPE_PREFIX_GAIN_DIAGNOSTIC
13.6,-1.7501229668449256,-0.0066472729137185965,-0.006534136553096974,0.01715120507508027,-0.01596721294394478,-0.010905013809265094,-0.007097504860406579,-0.0069662731920472854,0.017037489052409555,-0.01754897261576193
13.620000000000001,-1.7428753976601827,-0.006704279940282288,-0.006607956578211404,0.01708017889706979,-0.01600797852983018,-0.011005145567289699,-0.007072445440782409,-0.006940899293303089,0.01704767003342681,-0.0174684652725706
13.64,-1.7356278284754403,-0.006761167377702746,-0.0066816384286372795,0.017009152719059315,-0.016048542160653295,-0.011074010992051313,-0.007048155648451135,-0.006916442539636263,0.017057133203540888,-0.017389468929593154
13.66,-1.7283802592906974,-0.006817935476853667,-0.006755182363006923,0.016938126541048835,-0.01608893357662234,-0.011111423512849957,-0.007024852968281545,-0.0068931669390615465,0.017065659233226643,-0.017312273212568452
13.68,-1.7261958568468558,-0.006825017517556535,-0.006768473599059188,0.016916719397099187,-0.01603688349674135,-0.011117571592607838,-0.007002704259794467,-0.00687127516011277,0.01707307901476389,-0.017237083164366285
13.700000000000001,-1.7263082163974173,-0.006809600051179775,-0.00675447047372452,0.01691782052069469,-0.01595627835075688,-0.01109415574985698,-0.00698173126051693,-0.006850793911906128,0.017079368364452677,-0.0171638507323661
13.72,-1.7264205759479787,-0.006794214927510683,-0.00674049355912981,0.01691892164429019,-0.015887131342810244,-0.01104478580039511,-0.006961870178465657,-0.006831646178302054,0.017084588672291966,-0.01709241402653581
13.74,-1.7265329354985401,-0.006778862078700831,-0.006726542806214374,0.016920022767885692,-0.015822674663231413,-0.010973284704299443,-0.006943046001242752,-0.006813741316849111,0.017088812694444063,-0.017022631164849356
13.76,-1.7266452950491016,-0.006763541437044133,-0.006712618166009364,0.016921123891481194,-0.015760220223070213,-0.010883240776864787,-0.006925186352460689,-0.0067969918608755935,0.017092110705818155,-0.01695438451621909
13.780000000000001,-1.726757654599663,-0.006748252934976535,-0.006698719589637584,0.016922225015076696,-0.015698700030141934,-0.010777698473722059,-0.006908221526794439,-0.006781313562763114,0.017094550459445763,-0.016887568513170574
13.8,-1.726870014150224,-0.006732996505075719,-0.006684847028313333,0.016923326138672194,-0.01563768944963666,-0.01065821035329522,-0.006892084512966103,-0.006766625422592889,0.0170961971578627,-0.01682208481544267
13.82,-1.7269823737007854,-0.006717772080060798,-0.006671000433342211,0.016924427262267696,-0.015577019331881343,-0.010525710725151424,-0.0068767110055644905,-0.006752849703255832,0.01709711343561962,-0.016757840384038845
13.84,-1.7270947332513469,-0.006702579592792039,-0.006657179756120977,0.016925528385863198,-0.015516621984685055,-0.010381044712364493,-0.006862039406567126,-0.006739911933075525,0.01709735935207606,-0.016694746703100186
13.86,-1.7212301013170546,-0.006745932032609413,-0.00671434984086661,0.016868054992907135,-0.015565406844920814,-0.01022516667937029,-0.006848045186800275,-0.006727782580314449,0.017096957988162746,-0.016632783437663026
13.88,-1.7103108188058442,-0.006838677127517322,-0.006831426843804043,0.016761046024297274,-0.015690661777226805,-0.010059942690491465,-0.006834867164722867,-0.006716630214833539,0.01709576895711398,-0.016572224207100153
13.9,-1.6993915362946352,-0.006931227662085771,-0.006948284704599569,0.016654037055687423,-0.015796209545339786,-0.009888886595231364,-0.006822776502674068,-0.006706783951394168,0.017093519097755333,-0.01651354130718336
13.92,-1.6884722537834262,-0.007023584044462777,-0.00706492383343861,0.016547028087077576,-0.015893720741614485,-0.0097156471793032,-0.006812045796899538,-0.0066985747176719025,0.017089933244058844,-0.01645715513920909
13.94,-1.6775529712722173,-0.007115746681940137,-0.007181344639738802,0.01644001911846773,-0.015987830661333063,-0.009543583923991883,-0.006802920104876183,-0.006692300116323021,0.017084763225239028,-0.016403412401492207
13.96,-1.6631197494046166,-0.007242116453509512,-0.007339268576947189,0.01629857354416524,-0.016144425986107935,-0.009376073527715741,-0.006795638547656535,-0.006688250616715452,0.01707776629854949,-0.016352646821495745
13.98,-1.6485342378288137,-0.007369712000184641,-0.007498705053187643,0.016155635530722374,-0.016293627274055745,-0.009217454353863935,-0.006790493720811358,-0.006686781607030313,0.017068645688403498,-0.01630529216923316
14.0,-1.6339487262530108,-0.007497039877363093,-0.0076578430997619575,0.016012697517279507,-0.016438067213894843,-0.009072349406224492,-0.006787768963943516,-0.006688237328988907,0.017057113270453696,-0.016261750531472163
14.02,-1.6193632146772083,-0.007624100646561006,-0.007816683275264172,0.01586975950383664,-0.016580294783071013,-0.008945053423216465,-0.0067877161334400455,-0.006692923917862937,0.017042911841624327,-0.016222361713786344
14.040000000000001,-1.6075051657978063,-0.007724193779647401,-0.007942842939414291,0.0157535506248185,-0.016671612596011496,-0.008839382145865916,-0.006790540771844398,-0.006701091407050442,0.017025830032431372,-0.016187385875980745
14.06,-1.6002575966130639,-0.0077789416453417975,-0.00801402617910502,0.015682524446808024,-0.01668535547136168,-0.008758354389933047,-0.0067963329581811425,-0.006712849850222484,0.01700577162654947,-0.01615688287740536
14.08,-1.5930100274283214,-0.007833574661152823,-0.008085076179583766,0.01561149826879755,-0.016713686991311427,-0.008704025289732383,-0.006805045655588779,-0.006728143029483469,0.016982777478395463,-0.01613069375217976
14.1,-1.5857624582435785,-0.007888093068012166,-0.008155993190244746,0.015540472090787068,-0.01674772544692149,-0.008678051706433616,-0.00681659971669561,-0.0067468757687248835,0.016956920685401614,-0.01610865081617273
