time_s,state_u,state_v,state_w,state_p,state_q,state_r,state_phi,state_theta,state_psi,state_viLeft,state_viRight,state_collectiveActuator,state_cyclicActuator,state_elevatorActuator,state_hUp,cmd_collectiveCommand,cmd_cyclicLongCommand,cmd_elevatorCommand,out_q,out_theta,out_wBody,out_verticalVelocityUp,out_inertialAccelerationDown,out_specificForceBodyZ,out_thrustLeft,out_thrustRight,out_viLeft,out_viRight,out_FxAeroProp,out_FzAeroProp,out_My,out_hUp,targetViLeft,targetViRight
0.5,-4.87554507592916e-05,1.20696836151464e-16,-3.37799625482709e-08,1.12624536565117e-17,6.91789762255474e-06,1.56576608911174e-17,5.86531388628267e-17,1.72746246410777e-06,4.79617661427356e-18,16.4912197057059,16.4912197057059,0.292683210286591,0,0,5.45590536421516e-09,0.292683210286591,0.00349065850398866,0,6.91789762255474e-06,1.72746246410777e-06,-3.37799625482709e-08,3.36957393371132e-08,-1.4014850363141e-07,-9.80665014032173,30226.5587484062,30226.5587484062,16.4912197057059,16.4912197057059,-0.550835297666015,-58839.9008419304,0.416568456007215,5.45590536421516e-09,16.4912196938067,16.4912196938067
0.55,0.000171364688797353,1.49378778564529e-16,-7.88310439360742e-08,-5.48263034143534e-17,-2.6232338775733e-05,1.46800590234878e-17,5.7399604385636e-17,1.49857438816752e-06,5.531454314987e-18,16.4912224742357,16.4912224742357,0.292683210286591,0.00162224371586735,0,7.82160462445949e-09,0.292683210286591,0.00349065850398866,0,-2.6232338775733e-05,1.49857438816752e-06,-7.88310439360742e-08,7.90878466696536e-08,-2.15328102612894e-06,-9.80665214117669,30226.6048586966,30226.6048586966,16.4912224742357,16.4912224742357,48.5074794239199,-58839.9128470601,-36.3926989671693,7.82160462445949e-09,16.4912420363821,16.4912420363821
0.6,0.000696182956269535,1.7794257184433e-16,-2.31603730303097e-07,-3.77337323459065e-17,-0.000105022734071179,1.29766752275449e-17,5.54630168850625e-17,-1.64669194727315e-06,6.20322288449075e-18,16.4912315289212,16.4912315289212,0.292683210286591,0.00249056818956629,0,1.52719819489458e-08,0.292683210286591,0.00349065850398866,0,-0.000105022734071179,-1.64669194727315e-06,-2.31603730303097e-07,2.30457331434865e-07,-3.55226541326398e-06,-9.80665357279666,30226.6605335667,30226.6605335667,16.4912315289212,16.4912315289212,74.7606268141039,-58839.92143678,-56.1195723052245,1.52719819489458e-08,16.4912631872839,16.4912631872839
0.65,0.00138627614448343,1.99549054250522e-16,-4.24314909657407e-07,-6.54695252684644e-17,-0.000208283132226708,1.27953813110743e-17,5.3131482149955e-17,-9.40631420326786e-06,6.82035269677552e-18,16.4912419348174,16.4912419348174,0.292683210286591,0.00295534874923817,0,3.13138722335073e-08,0.292683210286591,0.00349065850398866,0,-0.000208283132226708,-9.40631420326786e-06,-4.24314909657407e-07,4.11275160651322e-07,-3.5835940165861e-06,-9.80665372325239,30226.6946010375,30226.6946010375,16.4912419348174,16.4912419348174,88.8070678779054,-58839.9223395143,-66.703033134256,3.13138722335073e-08,16.4912711214798,16.4912711214798
0.7,0.00216851404728543,2.26415688494477e-16,-6.38123910757688e-07,-8.43938577781681e-17,-0.00032468225147689,1.31040042926588e-17,4.96628570833799e-17,-2.26911908150008e-05,7.47352003709459e-18,16.4912504269618,16.4912504269618,0.292683210286591,0.00320412788346574,0,5.63193941221336e-08,0.292683210286591,0.00349065850398866,0,-0.00032468225147689,-2.26911908150008e-05,-6.38123910757688e-07,5.88917744565665e-07,-3.58891402086869e-06,-9.80665395570685,30226.712214864,30226.712214864,16.4912504269618,16.4912504269618,96.3197099270425,-58839.9237342411,-72.3925856963948,5.63193941221336e-08,16.4912719211183,16.4912719211183
0.75,0.00300525115208958,2.54211260011851e-16,-9.05733377192006e-07,-4.80060443011225e-17,-0.000448155296476993,1.49318360339645e-17,4.66550856669726e-17,-4.19909429261852e-05,8.14783794644621e-18,16.4912562954057,16.4912562954057,0.292683210286591,0.00333728967434052,0,9.0416205494971e-08,0.292683210286591,0.00349065850398866,0,-0.000448155296476993,-4.19909429261852e-05,-9.05733377192006e-07,7.79540046824332e-07,-4.13890608671216e-06,-9.80665484974518,30226.7206997621,30226.7206997621,16.4912562954057,16.4912562954057,100.334973368017,-58839.9290984711,-75.4628811645204,9.0416205494971e-08,16.4912702521874,16.4912702521874
0.8,0.00387783594392661,2.76355316974687e-16,-1.27444104189935e-06,-8.53752235271025e-17,-0.000575456506610313,1.77674386793816e-17,4.35821500746905e-17,-6.75697220509862e-05,8.96503631634986e-18,16.4912599368073,16.4912599368073,0.292683210286591,0.00340856600808172,0,1.34980939747795e-07,0.292683210286591,0.00349065850398866,0,-0.000575456506610313,-6.75697220509862e-05,-1.27444104189935e-06,1.01241674229895e-06,-5.26002311521422e-06,-9.80665643647946,30226.7246149913,30226.7246149913,16.4912599368073,16.4912599368073,102.478093125277,-58839.9386188767,-77.1315261193688,1.34980939747795e-07,16.4912681536126,16.4912681536126
0.85,0.00477778435555399,2.98379772188038e-16,-1.78812556365291e-06,-5.12624660660541e-17,-0.000704849169270517,1.94068274710299e-17,4.00967425011143e-17,-9.9571022118853e-05,9.91492804242213e-18,16.4912619736704,16.4912619736704,0.292683210286591,0.00344671756582055,0,1.92781410566784e-07,0.292683210286591,0.00349065850398866,0,-0.000704849169270517,-9.9571022118853e-05,-1.78812556365291e-06,1.31239668382895e-06,-6.79238981198045e-06,-9.80665856057757,30226.7263177066,30226.7263177066,16.4912619736704,16.4912619736704,103.618957422537,-58839.9513634654,-78.0503361708906,1.92781410566784e-07,16.4912662413744,16.4912662413744
0.9,0.00570205536273162,3.19839868477658e-16,-2.48290136367399e-06,1.0288492878466e-17,-0.000835404447216043,2.1073070672719e-17,3.92508646534204e-17,-0.000138073787154854,1.09085072557667e-17,16.4912629287578,16.4912629287578,0.292683210286591,0.00346713872280997,0,2.6761195460492e-07,0.292683210286591,0.00349065850398866,0,-0.000835404447216043,-0.000138073787154854,-2.48290136367399e-06,1.69559696400909e-06,-8.56271129187411e-06,-9.80666105460425,30226.7269389948,30226.7269389948,16.4912629287578,16.4912629287578,104.223144932664,-58839.9663276255,-78.5682790677433,2.6761195460492e-07,16.4912645698868,16.4912645698868
0.95,0.00665052226422283,3.38906864443711e-16,-3.38824083122207e-06,2.89439739574796e-17,-0.000966626074970885,1.60308810872106e-17,4.08595566989815e-17,-0.000183122449699606,1.18360323733098e-17,16.4912631621931,16.4912631621931,0.292683210286591,0.00347806912467041,0,3.63870572253991e-07,0.292683210286591,0.00349065850398866,0,-0.000966626074970885,-0.000183122449699606,-3.38824083122207e-06,2.17038085241206e-06,-1.04372953642624e-05,-9.80666379232074,30226.7270031263,30226.7270031263,16.4912631621931,16.4912631621931,104.539816646616,-58839.9827539244,-78.8722145220767,3.63870572253991e-07,16.4912630311263,16.4912630311263
