time_s,state_u,state_v,state_w,state_p,state_q,state_r,state_phi,state_theta,state_psi,state_collectiveActuator,state_cyclicActuator,state_elevatorActuator,state_hUp,cmd_collectiveCommand,cmd_cyclicLongCommand,cmd_elevatorCommand,out_q,out_theta,out_wBody,out_verticalVelocityUp,out_inertialAccelerationDown,out_specificForceBodyZ,out_thrustLeft,out_thrustRight,out_viLeft,out_viRight,out_FxAeroProp,out_FzAeroProp,out_My,out_hUp,targetViLeft,targetViRight
0.5,-4.87554507548283e-05,-5.0808018314697e-17,-3.49320005868332e-08,-1.28194922023791e-16,6.91789762205684e-06,3.45598783884164e-18,-2.66462088330871e-17,1.72746246401559e-06,1.58163848710454e-18,0.292683210286591,0,0,5.68370529617766e-09,0.29617386879058,0,0,6.91789762205684e-06,1.72746246401559e-06,-3.49320005868332e-08,3.4847777375686e-08,-1.43696413359222e-07,-9.80665014386964,30226.5587584528,30226.5587584528,16.4912196971122,16.4912196971122,-0.550835297596685,-58839.9008632178,0.416568455952301,5.68370529617766e-09,16.4912196840549,16.4912196840549
0.55,-5.43384715894894e-05,-6.87274849166209e-17,-0.00230975947864738,-1.37377080683863e-16,7.6212782955965e-06,2.76944590187437e-18,-3.26205195960259e-17,2.09087328291008e-06,1.75344530785454e-18,0.294305453925973,0,0,4.04600557255257e-05,0.29617386879058,0,0,7.6212782955965e-06,2.09087328291008e-06,-0.00230975947864738,0.00230975936502747,-0.0835494875294928,-9.89019948774748,30484.8247851807,30484.8247851807,16.5603683225683,16.5603683225683,-0.563498231410657,-59341.1969264849,0.426503426537944,4.04600557255257e-05,16.5603683078153,16.5603683078153
0.6,-6.01838126527926e-05,-8.92857432942519e-17,-0.00770318057817586,-1.82200998473615e-16,8.33714322013675e-06,2.28571639257415e-18,-4.06187703059271e-17,2.48979582504984e-06,1.86995535778722e-18,0.295173778414631,0,0,0.000281694249044623,0.29617386879058,0,0,8.33714322013675e-06,2.48979582504984e-06,-0.00770318057817586,0.00770318042830658,-0.127473311761272,-9.93412331202854,30620.7792641776,30620.7792641776,16.5945610025831,16.5945610025831,-0.569869649832336,-59604.7398721712,0.432008875699062,0.000281694249044623,16.5945609874729,16.5945609874729
0.65,-6.62662984772662e-05,-1.14102181872677e-16,-0.0147092177839532,-1.9415075155967e-16,9.0600357581518e-06,1.07404282570094e-18,-5.01267219033822e-17,2.92470331126387e-06,1.91474288781104e-18,0.295638559015998,0,0,0.000837291724366901,0.29617386879058,0,0,9.0600357581518e-06,2.92470331126387e-06,-0.0147092177839532,0.014709217590081,-0.150250626402401,-9.95690062672397,30691.4573119191,30691.4573119191,16.6102041247146,16.6102041247146,-0.572339193255088,-59741.4037603438,0.435193888833677,0.000837291724366901,16.6102041097075,16.6102041097075
0.7,-7.25760874402362e-05,-1.39385474593712e-16,-0.022542398799711,-1.96308012798203e-16,9.78715707297754e-06,6.74493986927102e-19,-5.96315400038241e-17,3.39586910889474e-06,1.96853078485182e-18,0.295887338147636,0,0,0.00176620783527594,0.29617386879058,0,0,9.78715707297754e-06,3.39586910889474e-06,-0.022542398799711,0.0225423985531221,-0.161731365203601,-9.96838136558494,30727.2626456349,30727.2626456349,16.6159801066527,16.6159801066527,-0.572212495990512,-59810.2881935096,0.43722328452348,0.00176620783527594,16.6159800919296,16.6159800919296
0.75,-7.91118754385868e-05,-1.63900038985908e-16,-0.0307830476926454,-1.75296770163997e-16,1.05171589488008e-05,3.57566036738556e-18,-6.88085309995966e-17,3.90346661568989e-06,2.0864211079962e-18,0.296020499995072,0,0,0.00309821908421776,0.29617386879058,0,0,1.05171589488008e-05,3.90346661568989e-06,-0.0307830476926454,0.0307830473836003,-0.167175843557495,-9.97382584400446,30744.4328348884,30744.4328348884,16.6165080325726,16.6165080325726,-0.570226182883543,-59842.9550640267,0.438725322959053,0.00309821908421776,16.6165080182092,16.6165080182092
0.8,-8.58772440233341e-05,-1.93719080189673e-16,-0.0392069421812484,-1.48833050806639e-16,1.12494702424907e-05,5.16157620594376e-18,-7.5867165119637e-17,4.44762327645725e-06,2.30862096640424e-18,0.296091776485533,0,0,0.00484751127663265,0.29617386879058,0,0,1.12494702424907e-05,4.44762327645725e-06,-0.0392069421812484,0.0392069417989109,-0.16939627342368,-9.9760462739425,30751.6487981125,30751.6487981125,16.6142522195433,16.6142522195433,-0.56680485683968,-59856.277643655,0.440034086857849,0.00484751127663265,16.6142522055703,16.6142522055703
0.85,-9.28786358245647e-05,-2.35685095905634e-16,-0.0476943821943901,-2.18578049493948e-16,1.19839309544169e-05,2.90868211799255e-18,-8.64270369479889e-17,5.02844935009531e-06,2.53735762264842e-18,0.296129928005044,0,0,0.00701994276997654,0.29617386879058,0,0,1.19839309544169e-05,5.02844935009531e-06,-0.0476943821943901,0.0476943817267516,-0.169896921996396,-9.97654692259369,30753.5540508374,30753.5540508374,16.6105293180261,16.6105293180261,-0.562198290861254,-59859.2815355621,0.441325258761458,0.00701994276997654,16.6105293044529,16.6105293044529
0.9,-0.000100124216372603,-2.72069851371954e-16,-0.0561815850532715,-9.21794624043483e-17,1.27205961306025e-05,8.21826979552734e-18,-9.52571787409847e-17,5.64605305436752e-06,2.83297915937803e-18,0.296150348824435,0,0,0.00961692959156412,0.29617386879058,0,0,1.27205961306025e-05,5.64605305436752e-06,-0.0561815850532715,0.0561815844870694,-0.169482666897752,-9.97613266758049,30752.6331772979,30752.6331772979,16.6060432934807,16.6060432934807,-0.556557364420239,-59856.7960054829,0.442690049988764,0.00961692959156412,16.6060432803064,16.6060432803064
0.95,-0.000107623231385556,-3.18279910789085e-16,-0.0646346860675007,-1.37402930189237e-16,1.34596315573014e-05,4.32855172772792e-18,-1.0099575558458e-16,6.3005484381321e-06,3.14149840858891e-18,0.29616127967489,0,0,0.0126375243699605,0.29617386879058,0,0,1.34596315573014e-05,6.3005484381321e-06,-0.0646346860675007,0.0646346853881324,-0.168584264554226,-9.97523426532974,30750.2158848753,30750.2158848753,16.6011706488252,16.6011706488252,-0.549976807455163,-59851.4055919785,0.444174874869972,0.0126375243699605,16.6011706360437,16.6011706360437
