model,omega_rad_s,realG,imagG,gain_dB,phase_deg
quasisteady,0.167880401812256,-25.4710940928472,-25.5500639339421,31.1447166787643,-134.911318457569
quasisteady,0.177827941003892,-26.9815854109092,-25.5100590926094,31.3949153109529,-136.605782639831
quasisteady,0.18836490894898,-28.4871456244405,-25.380825071367,31.63072999924,-138.300331713741
quasisteady,0.199526231496888,-29.97789559677,-25.1636124443102,31.8522520416543,-139.989715216271
quasisteady,0.211348903983665,-31.4443356029304,-24.8610335637694,32.0596648042095,-141.668823226461
quasisteady,0.223872113856834,-32.8775797818496,-24.4769538626656,32.2532389308705,-143.332769803776
quasisteady,0.237137370566166,-34.2695577273713,-24.0163382258863,32.4333254654629,-144.976968207551
quasisteady,0.251188643150958,-35.613174194645,-23.4850629888645,32.6003472430174,-146.597195402225
quasisteady,0.266072505979881,-36.9024214495287,-22.8897057907557,32.7547889768943,-148.189644073347
quasisteady,0.281838293126445,-38.1324425098509,-22.2373259566229,32.8971865021826,-149.750961163939
quasisteady,0.298538261891796,-39.2995470016726,-21.5352473905256,33.0281156359754,-151.278272717015
quasisteady,0.316227766016838,-40.4011842479632,-20.7908543455478,33.1481810849961,-152.769195515836
quasisteady,0.334965439157828,-41.4358803076754,-20.0114081973512,33.2580057767352,-154.221836600235
quasisteady,0.354813389233575,-42.4031469084789,-19.2038908129361,33.3582209194781,-155.634782172876
quasisteady,0.375837404288444,-43.3033706065872,-18.3748775793568,33.4494570178526,-157.00707768166
quasisteady,0.398107170553497,-44.137690192963,-17.5304408768242,33.5323359916605,-158.338200982043
quasisteady,0.421696503428582,-44.9078695272118,-16.6760829026466,33.6074644728116,-159.628030468643
quasisteady,0.446683592150963,-45.6161718116565,-15.8166953511002,33.6754282921223,-160.876809948684
quasisteady,0.47315125896148,-46.2652399966914,-14.9565425357959,33.7367881166719,-162.085111841128
quasisteady,0.501187233627272,-46.8579866813036,-14.0992640617329,33.7920761599826,-163.253800053561
quasisteady,0.530884444230988,-47.3974956470275,-13.2478930395839,33.8417938609955,-164.383993638861
quasisteady,0.562341325190349,-47.886936107156,-12.4048859970772,33.8864104123611,-165.477032085391
quasisteady,0.59566214352901,-48.3294898982913,-11.5721609941319,33.9263620121779,-166.534442862423
quasisteady,0.630957344480193,-48.7282911933525,-10.7511409116483,33.9620517140375,-167.557911636107
quasisteady,0.668343917568615,-49.0863778599067,-9.94279939492191,33.9938497561681,-168.549255395384
quasisteady,0.707945784384138,-49.4066532997029,-9.14770744379574,34.0220942598878,-169.510398583346
quasisteady,0.749894209332456,-49.6918574539381,-8.36607912029892,34.0470921990271,-170.443352216287
quasisteady,0.794328234724281,-49.9445456128445,-7.59781527096647,34.0691205543258,-171.350195887569
quasisteady,0.841395141645195,-50.1670736988199,-6.84254452591448,34.0884275791665,-172.233062492448
quasisteady,0.891250938133746,-50.3615887746755,-6.09966113814597,34.1052341147912,-173.094125469362
quasisteady,0.944060876285923,-50.5300236424975,-5.36835946764154,34.1197349039607,-173.935588328713
quasisteady,1,-50.67409452857,-4.64766510173234,34.1320998616455,-174.759676228155
quasisteady,1.05925372517729,-50.7953009844944,-3.93646274375553,34.142475269701,-175.568629350611
quasisteady,1.12201845430196,-50.8949272663526,-3.23352110416383,34.1509848695814,-176.364697844752
quasisteady,1.18850222743702,-50.9740445777144,-2.53751509990553,34.15773083307,-177.150138095242
quasisteady,1.25892541179417,-51.0335136759659,-1.84704571608364,34.162794595852,-177.927210099716
quasisteady,1.33352143216332,-51.0739874440055,-1.16065791475594,34.1662375426784,-178.698175739858
quasisteady,1.41253754462275,-51.0959131212318,-0.476856994337538,34.1681015360071,-179.4652977438
quasisteady,1.49623565609443,-51.0995339701849,0.205876186532008,34.1684092825246,179.769160854309
quasisteady,1.58489319246111,-51.0848902300212,0.889070701509368,34.1671645339873,179.002936945036
quasisteady,1.67880401812256,-51.0518192774034,1.57425134395986,34.1643521205436,178.233767447782
quasisteady,1.77827941003892,-50.9999549817759,2.2629242870162,34.159937816237,177.459389469517
quasisteady,1.8836490894898,-50.9287263078724,2.95656219434627,34.153868037907,176.67754070017
quasisteady,1.99526231496888,-50.8373552862168,3.65658836129112,34.1460693803338,175.885960230111
quasisteady,2.11348903983665,-50.7248545447667,4.36435946994157,34.1364479923681,175.082389980971
quasisteady,2.23872113856834,-50.5900246740231,5.08114654977524,34.1248888010936,174.264576948958
quasisteady,2.37137370566166,-50.4314517858706,5.8081137503912,34.1112545939442,173.430276469296
quasisteady,2.51188643150958,-50.2475057246371,6.54629455831947,34.095384972289,172.577256720692
quasisteady,2.66072505979881,-50.0363394981523,7.29656513051779,34.0770951944627,171.70330469886
quasisteady,2.81838293126445,-49.7958906166536,8.05961447870843,34.0561749317005,170.806233896745
quasisteady,2.98538261891796,-49.5238851564546,8.8359113278636,34.0323869670571,169.883893934441
quasisteady,3.16227766016838,-49.2178454995436,9.62566759647046,34.0054658752505,168.934182381844
quasisteady,3.34965439157828,-48.8751028332512,10.4287986137545,33.9751167304977,167.955059009082
quasisteady,3.54813389233576,-48.4928156160212,11.2448804077785,33.941013899776,166.94456268067
quasisteady,3.75837404288444,-48.0679953123569,12.0731046752088,33.902799990374,165.90083107558
quasisteady,3.98107170553497,-47.5975407539004,12.9122323831206,33.860085032789,164.822123363028
quasisteady,4.21696503428582,-47.0782824713189,13.7605473558796,33.8124459924663,163.706845888682
quasisteady,4.46683592150963,-46.5070382358336,14.6158116597837,33.7594267158062,162.553580824364
quasisteady,4.73151258961481,-45.8806808192717,15.4752250995409,33.7005384262499,161.361117602773
