time_s,state_u,state_v,state_w,state_p,state_q,state_r,state_phi,state_theta,state_psi,state_viLeft,state_viRight,state_collectiveActuator,state_cyclicActuator,state_elevatorActuator,state_hUp,cmd_collectiveCommand,cmd_cyclicLongCommand,cmd_elevatorCommand,out_q,out_theta,out_wBody,out_verticalVelocityUp,out_inertialAccelerationDown,out_specificForceBodyZ,out_thrustLeft,out_thrustRight,out_viLeft,out_viRight,out_FxAeroProp,out_FzAeroProp,out_My,out_hUp,targetViLeft,targetViRight
0.5,-3.19098967763393e-13,-7.3335721236965e-17,7.3027078766112e-10,-6.32987082942727e-17,7.4421775255919e-14,7.29923482359402e-18,-2.58901769197517e-17,-2.34812929749952e-14,2.64722149927126e-18,16.491219726975,16.491219726975,0.29268321035793,1.82370044221024e-05,0,-1.72599743894154e-10,0.294428539609925,1.82370044221024e-05,0,7.4421775255919e-14,-2.34812929749952e-14,7.3027078766112e-10,-7.3027078766112e-10,1.51304508714626e-09,-9.80664999848695,30226.5587849418,30226.5587849418,16.491219726975,16.491219726975,-5.95376595215471e-09,-58839.8999909217,4.48774792745549e-09,-1.72599743894154e-10,16.4912197270695,16.4912197270695
0.55,-1.49635518583768e-08,-8.53092476814161e-17,-0.00145186217968912,-4.48614071510717e-17,2.24895285887018e-09,7.9821164556378e-18,-2.91355857571175e-17,3.83669006583848e-11,3.00044326509999e-18,16.5085378207624,16.5085378207624,0.293494332185619,1.82370044221024e-05,0,2.60742599986633e-05,0.294428539609925,1.82370044221024e-05,0,2.24895285887018e-09,3.83669006583848e-11,-0.00145186217968912,0.00145186217968912,-0.0499756182735824,-9.85662561827358,30378.681338898,30378.681338898,16.5085378207624,16.5085378207624,-0.00339439344937202,-59139.7537096415,0.00255907284461099,2.60742599986633e-05,16.5553728515585,16.5553728515585
0.6,-5.28730550885897e-08,-1.0270254321449e-16,-0.00451458847410358,-3.09638669602174e-17,8.01827288595754e-09,9.16687482603251e-18,-3.10605700262123e-17,2.83522627388705e-10,3.41777812242592e-18,16.5300062736516,16.5300062736516,0.293928494408489,1.82370044221024e-05,0,0.000171177789513185,0.294428539609925,1.82370044221024e-05,0,8.01827288595754e-09,2.83522627388705e-10,-0.00451458847410358,0.00451458847410356,-0.069725287505789,-9.87637528750579,30440.4589557012,30440.4589557012,16.5300062736516,16.5300062736516,-0.00546875603339142,-59258.2517250347,0.00422346894489222,0.000171177789513185,16.564427536845,16.564427536845
0.65,-1.03256234895173e-07,-1.21414903721252e-16,-0.00824475523068153,-1.45552297453151e-17,1.5945395323781e-08,9.93604942802174e-18,-3.25537030901477e-17,8.75862465860503e-10,3.87912222183015e-18,16.5434629710288,16.5434629710288,0.294160884696539,1.82370044221024e-05,0,0.000488384877465513,0.294428539609925,1.82370044221024e-05,0,1.5945395323781e-08,8.75862465860503e-10,-0.00824475523068153,0.00824475523068144,-0.0783467660987338,-9.88499676609873,30468.0449060844,30468.0449060844,16.5434629710288,16.5434629710288,-0.00639902262350856,-59309.9805965924,0.00520066533583046,0.000488384877465513,16.562223000714,16.562223000714
0.7,-1.58208012586261e-07,-1.34763588791343e-16,-0.012272166684986,2.75113604676449e-18,2.51326859786498e-08,1.15475942373872e-17,-3.26082035974519e-17,1.89883917057891e-09,4.41462960071648e-18,16.550164922056,16.550164922056,0.294285274268262,1.82370044221024e-05,0,0.00100050652889071,0.294428539609925,1.82370044221024e-05,0,2.51326859786498e-08,1.89883917057891e-09,-0.012272166684986,0.0122721666849857,-0.0822314927337857,-9.88888149273379,30480.7486800202,30480.7486800201,16.550164922056,16.550164922056,-0.0065226334071197,-59333.2889564027,0.00577630859538009,0.00100050652889071,16.5583949888598,16.5583949888598
0.75,-2.12328017404307e-07,-1.55793526501097e-16,-0.0164312565526494,2.57900190695099e-17,3.5086197895773e-08,1.30188082440599e-17,-3.17408767214716e-17,3.40176487643582e-09,5.04351353978594e-18,16.5526655956307,16.5526655956307,0.294351855194218,1.82370044221024e-05,0,0.00171775301404563,0.294428539609925,1.82370044221024e-05,0,3.5086197895773e-08,3.40176487643582e-09,-0.0164312565526494,0.0164312565526487,-0.0838764894163336,-9.89052648941634,30486.3152903988,30486.3152903988,16.5526655956307,16.5526655956307,-0.00608608048838666,-59343.158936498,0.00614482034932111,0.00171775301404563,16.5547623229068,16.5547623229068
0.8,-2.61874758807078e-07,-1.7969771546453e-16,-0.0206413435238707,-1.50146638670889e-17,4.55642574335839e-08,1.129387363997e-17,-3.20625702232997e-17,5.41612512135799e-09,5.62078434870041e-18,16.5527852126897,16.5527852126897,0.294387493364505,1.82370044221024e-05,0,0.00264446161257739,0.294428539609925,1.82370044221024e-05,0,4.55642574335839e-08,5.41612512135799e-09,-0.0206413435238707,0.0206413435238693,-0.0843957304381994,-9.8910457304382,30488.2666177507,30488.2666177507,16.5527852126897,16.5527852126897,-0.00524128758626254,-59346.2743826292,0.00641957819077862,0.00264446161257739,16.5514968330895,16.5514968330895
0.85,-3.0410311470493e-07,-1.9644071811248e-16,-0.0248612513320696,-7.92203518659411e-18,5.64678465600237e-08,1.26530348626551e-17,-3.28028479023432e-17,7.96524170384392e-09,6.20155641931757e-18,16.5516069258967,16.5516069258967,0.294406569163225,1.82370044221024e-05,0,0.00378204068511287,0.294428539609925,1.82370044221024e-05,0,5.64678465600237e-08,7.96524170384392e-09,-0.0248612513320696,0.0248612513320672,-0.0843320140521319,-9.89098201405214,30488.3380059462,30488.3380059462,16.5516069258967,16.5516069258967,-0.00407748924753102,-59345.8920843128,0.00666290040513398,0.00378204068511287,16.5484985422483,16.5484985422483
0.9,-3.36853604876724e-07,-2.15592512199567e-16,-0.0290695264679366,-2.63067632785601e-18,6.77752003971478e-08,1.22587322076783e-17,-3.27259753804364e-17,1.10696177335434e-08,6.84703931725418e-18,16.5497364949252,16.5497364949253,0.294416779761335,1.82370044221024e-05,0,0.0051303875061335,0.294428539609925,1.82370044221024e-05,0,6.77752003971478e-08,1.10696177335434e-08,-0.0290695264679366,0.0290695264679328,-0.0839630516982482,-9.89061305169825,30487.4223893674,30487.4223893674,16.5497364949252,16.5497364949253,-0.00264691413309914,-59343.6783101895,0.00690801160638096,0.0051303875061335,16.5456680624235,16.5456680624235
0.95,-3.58316076341331e-07,-2.27175642130802e-16,-0.0332549309003996,6.81468522868486e-17,7.95053000899511e-08,1.49819287157033e-17,-3.04041067773893e-17,1.47497965864205e-08,7.54531152789685e-18,16.547504284327,16.547504284327,0.294422245027519,1.82370044221024e-05,0,0.00668860933394323,0.294428539609925,1.82370044221024e-05,0,7.95053000899511e-08,1.47497965864205e-08,-0.0332549309003996,0.0332549309003944,-0.0834344102540457,-9.89008441025405,30485.9890891379,30485.9890891379,16.547504284327,16.547504284327,-0.000980834276673586,-59340.5064615243,0.00717219909576525,0.00668860933394323,16.5429412351153,16.5429412351153
1,-3.66897703946841e-07,-2.47952382485381e-16,-0.0374116117144734,7.402582424237e-17,9.16980487209335e-08,1.48223489690091e-17,-2.83721327425153e-17,1.90278530597474e-08,8.31347668698252e-18,16.5450885286584,16.5450885286584,0.294425170269385,1.82370044221024e-05,0,0.00845540033067374,0.294428539609925,1.82370044221024e-05,0,9.16980487209335e-08,1.90278530597474e-08,-0.0374116117144734,0.0374116117144664,-0.0828232603296461,-9.88947326032964,30484.2872257123,30484.2872257123,16.5450885286584,16.5450885286584,0.000901161187400196,-59336.8395619779,0.00746417134641363,0.00845540033067374,16.5402810595274,16.5402810595275
1.05,-3.61150289526626e-07,-2.64159091853394e-16,-0.04153657787551,6.05932709812537e-17,1.04403646915652e-07,1.72480429794254e-17,-2.44003942088685e-17,2.39281463429654e-08,9.08738890532858e-18,16.5425849082706,16.5425849082706,0.294426736068716,1.82370044221024e-05,0,0.0104292410700016,0.294428539609925,1.82370044221024e-05,0,1.04403646915652e-07,2.39281463429654e-08,-0.04153657787551,0.0415365778755014,-0.08217072018311,-9.8888207201831,30482.4496161401,30482.4496161401,16.5425849082706,16.5425849082706,0.00298596829009266,-59332.9243210986,0.00778805822112645,0.0104292410700016,16.5376670400642,16.5376670400642
1.1,-3.39730590363878e-07,-2.80473006957919e-16,-0.0456283654315293,1.1936013509849e-16,1.17676940752895e-07,1.72078740951538e-17,-1.94319609309086e-17,2.94776783915477e-08,9.92451250019608e-18,16.5400446231736,16.5400446231736,0.294427574203809,1.82370044221024e-05,0,0.012608504676955,0.294428539609925,1.82370044221024e-05,0,1.17676940752895e-07,2.94776783915477e-08,-0.0456283654315293,0.0456283654315192,-0.0814987314470846,-9.88814873144706,30480.5471580848,30480.5471580848,16.5400446231736,16.5400446231736,0.00526409324254491,-59328.8923886824,0.00814555785010982,0.012608504676955,16.535087982816,16.535087982816
1.15,-3.01378772219847e-07,-2.96496107660791e-16,-0.0496863252695922,1.56903310251523e-16,1.31574423468078e-07,1.72842926554401e-17,-1.30684077743551e-17,3.57062434972788e-08,1.08181290246948e-17,16.5374950123257,16.5374950123257,0.294428022842669,1.82370044221024e-05,0,0.0149915135672328,0.294428539609925,1.82370044221024e-05,0,1.31574423468078e-07,3.57062434972788e-08,-0.0496863252695922,0.0496863252695814,-0.0808190079636365,-9.8874690079636,30478.6177109716,30478.6177109716,16.5374950123257,16.5374950123257,0.00772806602784937,-59324.8140477816,0.00853708515721034,0.0149915135672328,16.532537779577,16.532537779577
