theta_report_deg,points_per_segment,derivative_step,b,raw_CT,static_CT,alpha_min_deg,alpha_max_deg,mach_min,mach_max
10,64,5e-05,0.116800369424925,0.00721138195328801,0.013089,-1.81935152956167,12.8767029216765,0.0824904878605039,0.690470582124062
10,64,1e-05,0.116858676662461,0.00721138195328801,0.013089,-1.81935152956167,12.8767029216765,0.0824904878605039,0.690470582124062
11,64,0.0001,0.115104471238719,0.00854442336327404,0.013929,-1.70791536184352,13.3459164220462,0.0836885177841681,0.690614735000773
11,64,5e-05,0.115104709960193,0.00854442336327404,0.013929,-1.70791536184352,13.3459164220462,0.0836885177841681,0.690614735000773
11,64,1e-05,0.115104939457829,0.00854442336327404,0.013929,-1.70791536184352,13.3459164220462,0.0836885177841681,0.690614735000773
6,128,0.0001,0.128662254745466,0.00213643551642699,0.009208,-4.26509395315778,11.7433835178806,0.0764730062012734,0.689938332313301
6,128,5e-05,0.12864555042708,0.00213643551642699,0.009208,-4.26509395315778,11.7433835178806,0.0764730062012734,0.689938332313301
6,128,1e-05,0.128638536219298,0.00213643551642699,0.009208,-4.26509395315778,11.7433835178806,0.0764730062012734,0.689938332313301
6.45799945840901,128,0.0001,0.127763038565169,0.00272704330787665,0.00961066971108423,-3.89081228815143,11.8646077886645,0.0770944677431295,0.690007491752369
6.45799945840901,128,5e-05,0.127764881061834,0.00272704330787665,0.00961066971108423,-3.89081228815143,11.8646077886645,0.0770944677431295,0.690007491752369
6.45799945840901,128,1e-05,0.127770937258698,0.00272704330787665,0.00961066971108423,-3.89081228815143,11.8646077886645,0.0770944677431295,0.690007491752369
7,128,0.0001,0.126193652825839,0.0034228095826551,0.010104,-3.44900042637728,12.0084826951274,0.0778490885859958,0.690092212904528
7,128,5e-05,0.12621388926771,0.0034228095826551,0.010104,-3.44900042637728,12.0084826951274,0.0778490885859958,0.690092212904528
7,128,1e-05,0.126202134929899,0.0034228095826551,0.010104,-3.44900042637728,12.0084826951274,0.0778490885859958,0.690092212904528
8,128,0.0001,0.122587985245354,0.00469393180729293,0.011063,-2.63692592808463,12.2756614061845,0.079295473177786,0.690256875216964
8,128,5e-05,0.12258656306394,0.00469393180729293,0.011063,-2.63692592808463,12.2756614061845,0.079295473177786,0.690256875216964
