mode,inputChannel,amplitude_deg,output,nonlinearRMS,linearAbsoluteRMSerror,linearRelativeRMSerror,differenceStepAbsoluteChange,differenceStepRelativeChange,primaryChannel
quasisteady,1,0.1,thrustLeft,225.432661544371,0.25143293913637,0.00111533500697672,5.2291049144913e-05,2.31958620311196e-07,0
quasisteady,1,0.1,thrustRight,225.43266154437,0.251432940915376,0.00111533501486823,5.22919491312067e-05,2.31962612573398e-07,0
quasisteady,1,0.1,viLeft,0.0340406164950259,0.000140734060703671,0.004134298235293,6.73482808448835e-08,1.97846830578772e-06,0
quasisteady,1,0.1,viRight,0.0340406164950257,0.000140734059466951,0.0041342981989623,6.73499995466287e-08,1.97851879552389e-06,0
quasisteady,1,0.1,FxAeroProp,0.0891656120705456,0.0929401232330304,1.04233146697292,1.37802159040286e-07,1.54546305285563e-06,0
quasisteady,1,0.1,FzAeroProp,430.428033907476,0.713905994149409,0.00165859548614547,0.00061938575918698,1.43899957808074e-06,0
quasisteady,1,0.1,My,0.0211436961938919,0.0176520750874902,0.834862311944761,2.2240394558001e-05,0.00105186881016698,0
quasisteady,1,0.1,hUp,0.105648758370446,0.000133454091194303,0.00126318655564659,7.6938963895729e-08,7.28252419455329e-07,0
quasisteady,2,0.2,q,0.00371126825035617,1.77412349179361e-06,0.000478036986850344,4.39190263651802e-09,1.18339670976263e-06,1
quasisteady,2,0.2,theta,0.00350024298553412,8.14505910257598e-07,0.000232699819305061,2.62336943300217e-09,7.49482091341683e-07,0
quasisteady,2,0.2,wBody,0.000277450336515441,0.000273130486164276,0.984430185216501,1.22215444990293e-08,4.40494852250761e-05,0
quasisteady,2,0.2,verticalVelocityUp,1.64707630238007e-05,1.59282174438384e-05,0.967060082208807,1.22215444990303e-08,0.000742014470208202,0
quasisteady,2,0.2,inertialAccelerationDown,5.95690331305323e-05,6.38431432497749e-05,1.0717505370597,1.58396003844862e-08,0.000265903264700926,0
quasisteady,2,0.2,specificForceBodyZ,0.000114222986974873,0.000108488141345092,0.949792543675625,1.58396549906475e-08,0.00013867309383296,0
quasisteady,2,0.2,thrustLeft,0.129340787057663,0.128665157659238,0.994776362400486,3.69564110073057e-06,2.85728978831942e-05,0
quasisteady,2,0.2,thrustRight,0.129340787056646,0.128679647385809,0.994888389920286,1.57294259992152e-05,0.000121612264446221,0
quasisteady,2,0.2,viLeft,0.000194948809135121,0.000192655795209904,0.988237866466637,4.23531099364718e-09,2.17252468093388e-05,0
quasisteady,2,0.2,viRight,0.000194948809135108,0.000192611090773401,0.98800855274737,1.96959125259003e-08,0.000101031202053921,0
quasisteady,2,0.2,FxAeroProp,101.879941313691,0.00448699568768178,4.40419932503317e-05,0.000283437166483455,2.78207037448858e-06,0
quasisteady,2,0.2,FzAeroProp,0.685337921848971,0.650928848236998,0.949792543918859,9.50376023007014e-05,0.000138672615757639,0
quasisteady,2,0.2,My,78.9716377888246,0.100344415410409,0.00127063865230624,0.000177890806560974,2.25259107626292e-06,0
quasisteady,2,0.2,hUp,1.55280123588715e-05,1.31101623482468e-05,0.844291081514799,7.51093585301391e-09,0.000483702336102453,0
quasisteady,2,0.1,q,0.00185602588572993,4.41015325372737e-07,0.000237612701828939,2.19595131825901e-09,1.18314692437352e-06,1
quasisteady,2,0.1,theta,0.00175031560923381,2.01029117886504e-07,0.000114853068112957,1.31168471650109e-09,7.49398971009157e-07,0
quasisteady,2,0.1,wBody,9.57125773609146e-05,9.3543878093942e-05,0.977341543538266,6.11077224951465e-09,6.38450287099891e-05,0
quasisteady,2,0.1,verticalVelocityUp,2.79412928733681e-05,2.57959300203132e-05,0.923218912497078,6.11077224951514e-09,0.000218700411509574,0
quasisteady,2,0.1,inertialAccelerationDown,2.54191998962065e-05,2.28540177233952e-05,0.899084857773427,7.91980019224309e-09,0.000311567642749645,0
quasisteady,2,0.1,specificForceBodyZ,6.23441094835704e-05,5.94754699178374e-05,0.953986999100708,7.91982749532376e-09,0.000127034094494699,0
quasisteady,2,0.1,thrustLeft,0.0307804997491812,0.0303015785683106,0.984440760066498,1.84782055036528e-06,6.00321815897236e-05,0
quasisteady,2,0.1,thrustRight,0.0307804997484118,0.0303012355906845,0.984429617399178,7.86471299960758e-06,0.00025550959418758,0
quasisteady,2,0.1,viLeft,6.49029025854556e-05,6.37430571118802e-05,0.982129528459096,2.11765549682359e-09,3.26280553328927e-05,0
quasisteady,2,0.1,viRight,6.49029025846212e-05,6.37201167354931e-05,0.981776071608107,9.84795626295013e-09,0.000151733680171087,0
quasisteady,2,0.1,FxAeroProp,50.9395790461282,0.00140036856550678,2.74907761652031e-05,0.000141718583241728,2.78209176234839e-06,0
quasisteady,2,0.1,FzAeroProp,0.374064656900303,0.356852819588897,0.953986999322436,4.75188011503507e-05,0.000127033656545145,0
quasisteady,2,0.1,My,39.5028823734977,0.0250389860555031,0.000633852128023489,8.89454032804868e-05,2.2516180576271e-06,0
quasisteady,2,0.1,hUp,2.02061295437721e-05,1.89125883745395e-05,0.935982734029767,3.75546792650695e-09,0.000185857856566324,0
