inputChannel,amplitude_deg,output,dynamicRMS,quasisteadyRMS,differenceRMS,differencePeak
1,0.1,My,0.0210658534768402,0.0211436961938919,0.000184906425393305,0.000470027383445281
1,0.1,hUp,0.106373646946463,0.105648758370446,0.000922711770196699,0.00120829566366279
2,0.2,q,0.00371126727749448,0.00371126825035617,1.1642937401038e-09,3.41798095816054e-09
2,0.2,theta,0.00350024265713061,0.00350024298553412,4.1849957785927e-10,1.44434867017929e-09
2,0.2,wBody,0.000273166354266693,0.000277450336515441,4.36128299464367e-06,1.29878617899032e-05
2,0.2,verticalVelocityUp,1.70073284412235e-05,1.64707630238007e-05,4.36114761570892e-06,1.2987327423832e-05
2,0.2,inertialAccelerationDown,6.68458253259742e-05,5.95690331305323e-05,8.60396226106579e-06,2.23043201582859e-05
2,0.2,specificForceBodyZ,0.000105945516046958,0.000114222986974873,8.6042676894522e-06,2.23055179748854e-05
2,0.2,thrustLeft,0.125328298249792,0.129340787057663,0.024097155692275,0.0624598702415824
2,0.2,thrustRight,0.125328298250509,0.129340787056646,0.0240971556922434,0.0624598702488584
2,0.2,viLeft,0.000173504766736362,0.000194948809135121,2.20659912653555e-05,5.92529062686253e-05
2,0.2,viRight,0.000173504766736264,0.000194948809135108,2.20659912657616e-05,5.92529062686253e-05
2,0.2,FxAeroProp,101.879874440244,101.879941313691,0.000104469507281219,0.000286095876489867
2,0.2,FzAeroProp,0.635673096281154,0.685337921848971,0.0516256061366373,0.133833107844112
2,0.2,My,78.9715932344889,78.9716377888246,6.59193852466138e-05,0.000168689342032735
2,0.2,hUp,1.47427454756707e-05,1.55280123588715e-05,1.41713570781315e-06,4.94181394839174e-06
2,0.1,q,0.00185602571853806,0.00185602588572993,1.92369154490491e-10,5.44513307273314e-10
2,0.1,theta,0.0017503155392923,0.00175031560923381,7.99955584387202e-11,2.62362602129751e-10
2,0.1,wBody,9.4282261243955e-05,9.57125773609146e-05,1.4454742871878e-06,4.15129824123356e-06
2,0.1,verticalVelocityUp,2.65943341393446e-05,2.79412928733681e-05,1.44546289721939e-06,4.15125450760815e-06
2,0.1,inertialAccelerationDown,2.33130504500917e-05,2.54191998962065e-05,2.60455836550873e-06,6.57501507871759e-06
2,0.1,specificForceBodyZ,5.98019944350059e-05,6.23441094835704e-05,2.60458190923371e-06,6.57510591928201e-06
2,0.1,thrustLeft,0.0323243808064522,0.0307804997491812,0.00729216300238654,0.0184049131094071
2,0.1,thrustRight,0.032324380806163,0.0307804997484118,0.00729216300650077,0.018404913116683
2,0.1,viLeft,5.82229648906646e-05,6.49029025854556e-05,6.81283345585096e-06,1.77840960837727e-05
2,0.1,viRight,5.82229648910185e-05,6.49029025846212e-05,6.81283345488446e-06,1.77840960837727e-05
2,0.1,FxAeroProp,50.9395684244559,50.9395790461282,1.59246194728527e-05,4.24820607634047e-05
2,0.1,FzAeroProp,0.358811966610626,0.374064656900303,0.0156274914537083,0.0394506355078192
2,0.1,My,39.5028753216994,39.5028823734977,9.99711248344835e-06,2.4795088741314e-05
2,0.1,hUp,1.97122177348293e-05,2.02061295437721e-05,5.52521714332876e-07,1.8627926161032e-06
