figure,initial_collective_deg,time_s,CT_digitized,pixel_x,pixel_y,pixel_uncertainty_CT,CT_model_appendix,CT_model_quasisteady
9,4.0,0.44584837545126355,0.008834170854271357,581.5,657.0,5.0251256281407036e-05,0.007931663394366793,0.004351498116774547
9,4.0,0.4927797833935018,0.008809045226130654,594.5,657.5,5.0251256281407036e-05,0.00796983107123838,0.004351498116774547
9,4.0,0.5216606498194946,0.008834170854271357,602.5,657.0,5.0251256281407036e-05,0.007990356675753369,0.004351498116774547
9,4.0,0.5577617328519856,0.008834170854271357,612.5,657.0,5.0251256281407036e-05,0.008013366966080881,0.004351498116774547
9,4.0,0.5884476534296029,0.008809045226130654,621.0,657.5,5.0251256281407036e-05,0.00803092780159351,0.004351498116774547
9,4.0,0.6227436823104693,0.008834170854271357,630.5,657.0,5.0251256281407036e-05,0.008048679876090977,0.004351498116774547
9,4.0,0.6588447653429603,0.008834170854271357,640.5,657.0,5.0251256281407036e-05,0.008065508207938188,0.004351498116774547
9,4.0,0.6913357400722022,0.008834170854271357,649.5,657.0,5.0251256281407036e-05,0.008079232937500014,0.004351498116774547
9,4.0,0.723826714801444,0.008809045226130654,658.5,657.5,5.0251256281407036e-05,0.008091774679244464,0.004351498116774547
9,4.0,0.7563176895306859,0.008809045226130654,667.5,657.5,5.0251256281407036e-05,0.008103266656558007,0.004351498116774547
9,4.0,0.7851985559566786,0.008809045226130654,675.5,657.5,5.0251256281407036e-05,0.008112693133226656,0.004351498116774547
9,4.0,0.8249097472924187,0.008809045226130654,686.5,657.5,5.0251256281407036e-05,0.008124574319521023,0.004351498116774547
9,4.0,0.8574007220216606,0.008809045226130654,695.5,657.5,5.0251256281407036e-05,0.008133462889587,0.004351498116774547
9,4.0,0.8898916967509025,0.008834170854271357,704.5,657.0,5.0251256281407036e-05,0.008141681522003414,0.004351498116774547
9,4.0,0.9259927797833934,0.008809045226130654,714.5,657.5,5.0251256281407036e-05,0.008150105255467615,0.004351498116774547
9,4.0,0.9566787003610109,0.00878391959798995,723.0,658.0,5.0251256281407036e-05,0.008156734801449806,0.004351498116774547
9,4.0,0.9891696750902527,0.008834170854271357,732.0,657.0,5.0251256281407036e-05,0.00816327175676155,0.004351498116774547
