law,b_variant,method,base_grid_n,actual_grid_n,source_delay_included,frequency_lo,frequency_hi,anchor_rad_s,normalized_complex_max,normalized_complex_log_rms,normalized_gain_max_abs_db,normalized_phase_max_abs_deg,any_constant_gain_amplitude_lower_bound,magnitude_ratio_span
PP_mean,left_secant,BT_V_KINEMATIC_1,513,514,0,0.1,3,1,0.400936251901511,0.19093512089895,3.92107271472481,13.5042330869879,0.228613230611301,1.59273308717097
PP_mean,right_secant,FULL_2,513,514,1,0.1,3,1,0.413243942891465,0.194477709508424,4.17228564138661,13.1397459531501,0.244076193997744,1.64576930124361
PP_mean,right_secant,FULL_2,513,514,0,0.1,3,1,0.41527640359093,0.19693893698034,4.17228564138661,13.4993015503416,0.244076193997744,1.64576930124361
PP_mean,right_secant,PHYSICAL_QS_1,513,514,1,0.1,3,1,0.420768277219955,0.200879011793921,4.23395756022619,13.8512057234367,0.246451867959093,1.65411048738613
PP_mean,right_secant,PHYSICAL_QS_1,513,514,0,0.1,3,1,0.422865610249073,0.203523385106021,4.23395756022619,14.2107613206283,0.246451867959093,1.65411048738613
PP_mean,right_secant,BT_V_KINEMATIC_1,513,514,1,0.1,3,1,0.421049470500384,0.201042092113058,4.23804841787937,13.8601865455866,0.246684455308079,1.65492994813737
PP_mean,right_secant,BT_V_KINEMATIC_1,513,514,0,0.1,3,1,0.4231453899839,0.20368597010097,4.23804841787937,14.2197421427782,0.246684455308078,1.65492994813737
PP_mean,central_no_unknown_root,FULL_2,513,514,1,0.1,3,1,0.391784301068937,0.18237127318129,3.87048009658827,12.4723260740028,0.226823192084469,1.58673045999913
PP_mean,central_no_unknown_root,FULL_2,513,514,0,0.1,3,1,0.393920673304321,0.184864963500539,3.87048009658827,12.8333571468782,0.226823192084468,1.58673045999913
PP_mean,central_no_unknown_root,PHYSICAL_QS_1,513,514,1,0.1,3,1,0.399223268594193,0.188532720688925,3.92792753014919,13.159019463838,0.229005067295685,1.59405077149453
PP_mean,central_no_unknown_root,PHYSICAL_QS_1,513,514,0,0.1,3,1,0.40142815775279,0.191214196116919,3.92792753014919,13.520160381593,0.229005067295685,1.59405077149453
PP_mean,central_no_unknown_root,BT_V_KINEMATIC_1,513,514,1,0.1,3,1,0.399348913439275,0.188603885092565,3.9296709038069,13.1630815898664,0.22910471535246,1.59438608567235
PP_mean,central_no_unknown_root,BT_V_KINEMATIC_1,513,514,0,0.1,3,1,0.401553179655712,0.19128514902794,3.9296709038069,13.5242071446681,0.22910471535246,1.59438608567235
CF_TN3044,central,FULL_2,513,514,1,0.1,3,1,0.398489887515656,0.185084987141638,3.9893420240552,12.4074094407041,0.235239681449453,1.61519845039895
CF_TN3044,central,FULL_2,513,514,0,0.1,3,1,0.400532011273874,0.187447965825119,3.9893420240552,12.7677747557228,0.235239681449453,1.61519845039895
CF_TN3044,central,PHYSICAL_QS_1,513,514,1,0.1,3,1,0.410057291909235,0.19470473227612,4.08001189761248,13.5079856892483,0.237686945075694,1.62359405637962
CF_TN3044,central,PHYSICAL_QS_1,513,514,0,0.1,3,1,0.412208281005976,0.197367760659397,4.08001189761248,13.8683916792291,0.237686945075694,1.62359405637962
CF_TN3044,central,BT_V_KINEMATIC_1,513,514,1,0.1,3,1,0.410378464072431,0.19488881320287,4.08457541422032,13.5182889082481,0.237947109723363,1.62448975067068
CF_TN3044,central,BT_V_KINEMATIC_1,513,514,0,0.1,3,1,0.412527849594424,0.197551288236036,4.08457541422032,13.8786948982289,0.237947109723363,1.62448975067068
CF_TN3044,left_secant,FULL_2,513,514,1,0.1,3,1,0.387112577641753,0.178758625745098,3.83210159965078,12.0590410539292,0.226211348342487,1.58468510195368
CF_TN3044,left_secant,FULL_2,513,514,0,0.1,3,1,0.389208417200288,0.1811367788557,3.83210159965078,12.4200685164155,0.226211348342487,1.58468510195368
CF_TN3044,left_secant,PHYSICAL_QS_1,513,514,1,0.1,3,1,0.398607494353317,0.188184089309643,3.91939023374384,13.139103949133,0.228517049405872,1.5924098497054
CF_TN3044,left_secant,PHYSICAL_QS_1,513,514,0,0.1,3,1,0.400815435765684,0.190866600413748,3.91939023374384,13.5003199781519,0.228517049405872,1.5924098497054
CF_TN3044,left_secant,BT_V_KINEMATIC_1,513,514,1,0.1,3,1,0.398803677524417,0.188295136791253,3.92210895223573,13.1454502816754,0.2286724671375,1.59293220427091
CF_TN3044,left_secant,BT_V_KINEMATIC_1,513,514,0,0.1,3,1,0.401010646632854,0.190977318082906,3.92210895223573,13.5066424132118,0.228672467137501,1.59293220427091
CF_TN3044,right_secant,FULL_2,513,514,1,0.1,3,1,0.409134751127271,0.191072936477054,4.13997764168675,12.731030575229,0.243865779084581,1.64503304397292
CF_TN3044,right_secant,FULL_2,513,514,0,0.1,3,1,0.411126110686577,0.193420923356326,4.13997764168675,13.0905861724205,0.243865779084581,1.64503304397292
CF_TN3044,right_secant,PHYSICAL_QS_1,513,514,1,0.1,3,1,0.420768277219956,0.200879011793921,4.23395756022619,13.8512057234368,0.246451867959093,1.65411048738613
CF_TN3044,right_secant,PHYSICAL_QS_1,513,514,0,0.1,3,1,0.422865610249073,0.203523385106021,4.23395756022619,14.2107613206283,0.246451867959093,1.65411048738613
CF_TN3044,right_secant,BT_V_KINEMATIC_1,513,514,1,0.1,3,1,0.421212326444701,0.201136565089953,4.24041885021291,13.8653864567602,0.246819219361171,1.65540498564455
CF_TN3044,right_secant,BT_V_KINEMATIC_1,513,514,0,0.1,3,1,0.423307427143777,0.203780156075522,4.24041885021291,14.2249420539518,0.246819219361172,1.65540498564455
CF_TN3044,central_no_unknown_root,FULL_2,513,514,1,0.1,3,1,0.387724406237686,0.179096931249168,3.84046100758001,12.077854171235,0.226691925472854,1.58629137064544
CF_TN3044,central_no_unknown_root,FULL_2,513,514,0,0.1,3,1,0.389817371634337,0.181474291086054,3.84046100758001,12.43880907766,0.226691925472854,1.58629137064544
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,513,514,1,0.1,3,1,0.399223268594193,0.188532720688925,3.92792753014919,13.159019463838,0.229005067295685,1.59405077149453
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,513,514,0,0.1,3,1,0.40142815775279,0.191214196116919,3.92792753014919,13.520160381593,0.229005067295685,1.59405077149453
CF_TN3044,central_no_unknown_root,BT_V_KINEMATIC_1,513,514,1,0.1,3,1,0.399426011865946,0.188647557892275,3.93074090987821,13.1655739452605,0.229165873518391,1.59459192489153
CF_TN3044,central_no_unknown_root,BT_V_KINEMATIC_1,513,514,0,0.1,3,1,0.401629895806433,0.191328692022723,3.93074090987821,13.5266900668105,0.229165873518391,1.59459192489153
