law,b_variant,method,source_delay_included,omega_rad_s,model_shape_re,model_shape_im,source_shape_re,source_shape_im,normalized_complex_error,required_map_shape_re,required_map_shape_im
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,0.9958887993020423,0.999826811795954,0.0008258433939506047,0.9999547879448207,0.0004591141769818144,0.0003884350968950428,1.0001276952637126,-0.00036689821570181106
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.0,1.0,-0.0,1.0,1.1071580658826484e-17,1.1071580658826484e-17,1.0,1.1071580658826484e-17
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.002526474890684,1.0001050838892818,-0.0005044295628711109,1.0000274083902336,-0.0002804365970769848,0.00023707223906290465,0.9999222197173938,0.00022393019966386262
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.0092083910986098,1.0003781580708855,-0.0018273543409070923,1.0000985439635115,-0.0010159480295029502,0.0008581482067908122,0.9997190109224922,0.0008105863150364301
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.015934842792958,1.000646104621404,-0.0031429483591161713,1.000168215677397,-0.0017474466563315355,0.001474809947811679,0.9995180440498983,0.0013930868602636637
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.0227061268061766,1.0009089931019883,-0.004451229513316761,1.0002364442637839,-0.0024749589612710473,0.0020870746186060513,0.9993192945484181,0.0019714485427234966
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.0295225419491252,1.001166892357136,-0.0057522161634032485,1.0003032501769038,-0.003198511374386235,0.0026949593875615395,0.9991227381420041,0.0025456880452542534
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.0363843890242612,1.0014198705176411,-0.007045927120760189,1.0003686535964902,-0.003918130270826343,0.0032984814319795518,0.9989283508270117,0.003115822024131667
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.0432919708389146,1.0016679950036635,-0.008332381635871168,1.0004326744309096,-0.004633841969596187,0.003897657935142132,0.9987361088694683,0.003681867107090417
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.0502455922186473,1.0019113325279092,-0.00961159938612235,1.0004953323202694,-0.005345672732369248,0.0044925060834349615,0.9985459888023633,0.00424383989139083
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.0572455600207091,1.0021499490989174,-0.010883600463798807,1.000556646639495,-0.006053648762343224,0.0050830430635283325,0.9983579674229568,0.004801756941927986
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.0642921831475751,1.0023839100244518,-0.012148405364273458,1.0006166365013789,-0.006757796203135287,0.005669286059614953,0.9981720217901016,0.005355634789385548
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.0713857725605815,1.0026132799149892,-0.01340603497438559,1.0006753207596029,-0.007458141137718492,0.0062512522507012355,0.9979881292215891,0.005905489928429642
CF_TN3044,central_no_unknown_root,PHYSICAL_QS_1,True,1.0785266412936443,1.0028381226873024,-0.014656510561008912,1.0007327180117327,-0.008154709587396279,0.006828958807955584,0.9978062672915115,0.006451338815945631
