law,b_variant,method,base_grid_n,actual_grid_n,source_delay_included,frequency_lo,frequency_hi,anchor_rad_s,normalized_complex_max,normalized_complex_log_rms,normalized_gain_max_abs_db,normalized_phase_max_abs_deg,any_constant_gain_amplitude_lower_bound,magnitude_ratio_span
PP_mean,left_secant,BT_V_KINEMATIC_1,513,514,True,0.1,3.0,1.0,0.3987289122340948,0.18825281389945056,3.921072714724811,13.143031844534356,0.22861323061130084,1.592733087170966
PP_mean,left_secant,BT_V_KINEMATIC_1,513,514,False,0.1,3.0,1.0,0.4009362519015107,0.19093512089894962,3.921072714724811,13.50423308698792,0.22861323061130068,1.5927330871709655
PP_mean,right_secant,FULL_2,513,514,True,0.1,3.0,1.0,0.4132439428914647,0.19447770950842425,4.172285641386607,13.139745953150092,0.24407619399774347,1.6457693012436094
PP_mean,right_secant,FULL_2,513,514,False,0.1,3.0,1.0,0.41527640359092943,0.19693893698034007,4.172285641386607,13.499301550341643,0.2440761939977436,1.6457693012436099
PP_mean,right_secant,PHYSICAL_QS_1,513,514,True,0.1,3.0,1.0,0.4207682772199554,0.2008790117939206,4.233957560226191,13.851205723436738,0.2464518679590922,1.6541104873861279
PP_mean,right_secant,PHYSICAL_QS_1,513,514,False,0.1,3.0,1.0,0.42286561024907293,0.20352338510602117,4.233957560226191,14.210761320628292,0.24645186795909232,1.6541104873861283
PP_mean,right_secant,BT_V_KINEMATIC_1,513,514,True,0.1,3.0,1.0,0.4210494705003864,0.20104209211305865,4.2380484178794,13.860186545586688,0.24668445530808011,1.6549299481373787
PP_mean,right_secant,BT_V_KINEMATIC_1,513,514,False,0.1,3.0,1.0,0.42314538998390194,0.20368597010097156,4.238048417879401,14.219742142778243,0.24668445530808017,1.654929948137379
PP_mean,central_no_unknown_root,FULL_2,513,514,True,0.1,3.0,1.0,0.39178430106893736,0.1823712731812901,3.8704800965882753,12.472326074002842,0.22682319208446852,1.5867304599991279
PP_mean,central_no_unknown_root,FULL_2,513,514,False,0.1,3.0,1.0,0.39392067330432057,0.18486496350053871,3.870480096588278,12.833357146878111,0.22682319208446866,1.586730459999128
PP_mean,central_no_unknown_root,PHYSICAL_QS_1,513,514,True,0.1,3.0,1.0,0.39922326859419377,0.18853272068892488,3.9279275301491907,13.159019463837993,0.22900506729568493,1.5940507714945278
PP_mean,central_no_unknown_root,PHYSICAL_QS_1,513,514,False,0.1,3.0,1.0,0.40142815775279067,0.19121419611691867,3.9279275301491925,13.52016038159299,0.22900506729568484,1.5940507714945273
PP_mean,central_no_unknown_root,BT_V_KINEMATIC_1,513,514,True,0.1,3.0,1.0,0.3993489134392736,0.18860388509256393,3.929670903806879,13.163081589866316,0.22910471535245902,1.5943860856723422
PP_mean,central_no_unknown_root,BT_V_KINEMATIC_1,513,514,False,0.1,3.0,1.0,0.401553179655711,0.19128514902793906,3.92967090380688,13.524207144668024,0.22910471535245908,1.5943860856723426
CF_TN3044,central,FULL_2,513,514,True,0.1,3.0,1.0,0.39848988751565584,0.18508498714163807,3.989342024055204,12.407409440704093,0.23523968144945345,1.6151984503989543
CF_TN3044,central,FULL_2,513,514,False,0.1,3.0,1.0,0.4005320112738741,0.18744796582511858,3.989342024055204,12.767774755722833,0.23523968144945362,1.615198450398955
CF_TN3044,central,PHYSICAL_QS_1,513,514,True,0.1,3.0,1.0,0.4100572919092346,0.19470473227612017,4.08001189761248,13.50798568924832,0.23768694507569335,1.6235940563796176
CF_TN3044,central,PHYSICAL_QS_1,513,514,False,0.1,3.0,1.0,0.4122082810059755,0.1973677606593971,4.08001189761248,13.868391679229104,0.2376869450756934,1.623594056379618
CF_TN3044,central,BT_V_KINEMATIC_1,513,514,True,0.1,3.0,1.0,0.41037846407243284,0.19488881320287071,4.084575414220346,13.518288908248167,0.23794710972336475,1.6244897506706832
CF_TN3044,central,BT_V_KINEMATIC_1,513,514,False,0.1,3.0,1.0,0.4125278495944257,0.1975512882360365,4.084575414220348,13.87869489822895,0.23794710972336475,1.6244897506706832
CF_TN3044,left_secant,FULL_2,513,514,True,0.1,3.0,1.0,0.3871125776417529,0.1787586257450976,3.8321015996507786,12.059041053929246,0.22621134834248735,1.5846851019536818
CF_TN3044,left_secant,FULL_2,513,514,False,0.1,3.0,1.0,0.389208417200288,0.18113677885569957,3.8321015996507786,12.420068516415546,0.22621134834248746,1.584685101953682
CF_TN3044,left_secant,PHYSICAL_QS_1,513,514,True,0.1,3.0,1.0,0.398607494353317,0.1881840893096425,3.919390233743841,13.139103949133009,0.22851704940587164,1.5924098497053965
CF_TN3044,left_secant,PHYSICAL_QS_1,513,514,False,0.1,3.0,1.0,0.4008154357656841,0.19086660041374742,3.919390233743841,13.500319978151925,0.22851704940587172,1.5924098497053967
