check,passed,value
PP_mean/central_no_unknown_root/129/PHYSICAL_QS_1/a_equals_sv,True,3.5235387202649343e-16
PP_mean/central_no_unknown_root/129/PHYSICAL_QS_1/unit_gain_invariant,True,4.449557262054371e-16
PP_mean/central_no_unknown_root/129/BT_V_KINEMATIC_1/kinematics,True,
PP_mean/central_no_unknown_root/129/BT_V_KINEMATIC_1/a_equals_sv,True,6.0478284254003185e-16
PP_mean/central_no_unknown_root/129/BT_V_KINEMATIC_1/unit_gain_invariant,True,2.2591401799415137e-16
PP_mean/central_no_unknown_root/257/analytic_ss,True,1.161644187614707e-15
PP_mean/central_no_unknown_root/257/map_identity_not_calibration,True,1.32862558813631e-15
PP_mean/central_no_unknown_root/257/FULL_2/kinematics,True,
PP_mean/central_no_unknown_root/257/FULL_2/a_equals_sv,True,1.129531824463075e-15
PP_mean/central_no_unknown_root/257/FULL_2/unit_gain_invariant,True,2.2729511820139823e-16
PP_mean/central_no_unknown_root/257/PHYSICAL_QS_1/kinematics,True,
PP_mean/central_no_unknown_root/257/PHYSICAL_QS_1/a_equals_sv,True,4.019301613597033e-16
PP_mean/central_no_unknown_root/257/PHYSICAL_QS_1/unit_gain_invariant,True,4.449557262054371e-16
PP_mean/central_no_unknown_root/257/BT_V_KINEMATIC_1/kinematics,True,
PP_mean/central_no_unknown_root/257/BT_V_KINEMATIC_1/a_equals_sv,True,6.0478284254003185e-16
PP_mean/central_no_unknown_root/257/BT_V_KINEMATIC_1/unit_gain_invariant,True,4.440892098500626e-16
PP_mean/central_no_unknown_root/513/analytic_ss,True,1.161644187614707e-15
PP_mean/central_no_unknown_root/513/map_identity_not_calibration,True,1.32862558813631e-15
PP_mean/central_no_unknown_root/513/FULL_2/kinematics,True,
PP_mean/central_no_unknown_root/513/FULL_2/a_equals_sv,True,1.129531824463075e-15
PP_mean/central_no_unknown_root/513/FULL_2/unit_gain_invariant,True,2.482534153247273e-16
PP_mean/central_no_unknown_root/513/PHYSICAL_QS_1/kinematics,True,
PP_mean/central_no_unknown_root/513/PHYSICAL_QS_1/a_equals_sv,True,4.9857875993939895e-16
PP_mean/central_no_unknown_root/513/PHYSICAL_QS_1/unit_gain_invariant,True,4.449557262054371e-16
PP_mean/central_no_unknown_root/513/BT_V_KINEMATIC_1/kinematics,True,
PP_mean/central_no_unknown_root/513/BT_V_KINEMATIC_1/a_equals_sv,True,6.0478284254003185e-16
PP_mean/central_no_unknown_root/513/BT_V_KINEMATIC_1/unit_gain_invariant,True,4.440892098500626e-16
CF_TN3044/central/required_map_stable_proper,True,
CF_TN3044/central/129/analytic_ss,True,1.1428920439781352e-15
CF_TN3044/central/129/map_identity_not_calibration,True,1.0031189438218942e-15
CF_TN3044/central/129/FULL_2/kinematics,True,
CF_TN3044/central/129/FULL_2/a_equals_sv,True,1.2112753941245573e-15
CF_TN3044/central/129/FULL_2/unit_gain_invariant,True,4.449557262054371e-16
CF_TN3044/central/129/PHYSICAL_QS_1/kinematics,True,
CF_TN3044/central/129/PHYSICAL_QS_1/a_equals_sv,True,4.708439295342822e-16
CF_TN3044/central/129/PHYSICAL_QS_1/unit_gain_invariant,True,4.444278938805073e-16
CF_TN3044/central/129/BT_V_KINEMATIC_1/kinematics,True,
CF_TN3044/central/129/BT_V_KINEMATIC_1/a_equals_sv,True,4.1696194245335517e-16
CF_TN3044/central/129/BT_V_KINEMATIC_1/unit_gain_invariant,True,4.441400818526724e-16
CF_TN3044/central/257/analytic_ss,True,1.1428920439781352e-15
CF_TN3044/central/257/map_identity_not_calibration,True,1.1952964033279343e-15
CF_TN3044/central/257/FULL_2/kinematics,True,
CF_TN3044/central/257/FULL_2/a_equals_sv,True,1.2112753941245573e-15
CF_TN3044/central/257/FULL_2/unit_gain_invariant,True,4.449557262054371e-16
CF_TN3044/central/257/PHYSICAL_QS_1/kinematics,True,
CF_TN3044/central/257/PHYSICAL_QS_1/a_equals_sv,True,4.708439295342822e-16
CF_TN3044/central/257/PHYSICAL_QS_1/unit_gain_invariant,True,4.444278938805073e-16
CF_TN3044/central/257/BT_V_KINEMATIC_1/kinematics,True,
CF_TN3044/central/257/BT_V_KINEMATIC_1/a_equals_sv,True,4.2862215418468904e-16
CF_TN3044/central/257/BT_V_KINEMATIC_1/unit_gain_invariant,True,4.441400818526724e-16
CF_TN3044/central/513/analytic_ss,True,1.434896659030814e-15
CF_TN3044/central/513/map_identity_not_calibration,True,1.5245648600050526e-15
CF_TN3044/central/513/FULL_2/kinematics,True,
CF_TN3044/central/513/FULL_2/a_equals_sv,True,1.2795271430751498e-15
CF_TN3044/central/513/FULL_2/unit_gain_invariant,True,4.449557262054371e-16
CF_TN3044/central/513/PHYSICAL_QS_1/kinematics,True,
CF_TN3044/central/513/PHYSICAL_QS_1/a_equals_sv,True,4.785567479472494e-16
CF_TN3044/central/513/PHYSICAL_QS_1/unit_gain_invariant,True,4.444278938805073e-16
CF_TN3044/central/513/BT_V_KINEMATIC_1/kinematics,True,
CF_TN3044/central/513/BT_V_KINEMATIC_1/a_equals_sv,True,4.619405956715616e-16
CF_TN3044/central/513/BT_V_KINEMATIC_1/unit_gain_invariant,True,4.460365043975677e-16
CF_TN3044/left_secant/required_map_stable_proper,True,
CF_TN3044/left_secant/129/analytic_ss,True,1.0579277118988535e-15
CF_TN3044/left_secant/129/map_identity_not_calibration,True,1.1519430003678332e-15
CF_TN3044/left_secant/129/FULL_2/kinematics,True,
CF_TN3044/left_secant/129/FULL_2/a_equals_sv,True,1.2445651031956094e-15
CF_TN3044/left_secant/129/FULL_2/unit_gain_invariant,True,3.3306690738754696e-16
CF_TN3044/left_secant/129/PHYSICAL_QS_1/kinematics,True,
CF_TN3044/left_secant/129/PHYSICAL_QS_1/a_equals_sv,True,3.6131654976769294e-16
CF_TN3044/left_secant/129/PHYSICAL_QS_1/unit_gain_invariant,True,3.337167946540778e-16
CF_TN3044/left_secant/129/BT_V_KINEMATIC_1/kinematics,True,
CF_TN3044/left_secant/129/BT_V_KINEMATIC_1/a_equals_sv,True,7.974371237817706e-16
CF_TN3044/left_secant/129/BT_V_KINEMATIC_1/unit_gain_invariant,True,2.2887833992611187e-16
CF_TN3044/left_secant/257/analytic_ss,True,1.2948324798032549e-15
CF_TN3044/left_secant/257/map_identity_not_calibration,True,1.230867386022356e-15
CF_TN3044/left_secant/257/FULL_2/kinematics,True,
CF_TN3044/left_secant/257/FULL_2/a_equals_sv,True,1.2445651031956094e-15
CF_TN3044/left_secant/257/FULL_2/unit_gain_invariant,True,3.3306690738754696e-16
CF_TN3044/left_secant/257/PHYSICAL_QS_1/kinematics,True,
CF_TN3044/left_secant/257/PHYSICAL_QS_1/a_equals_sv,True,4.805498892445717e-16
CF_TN3044/left_secant/257/PHYSICAL_QS_1/unit_gain_invariant,True,4.449557262054371e-16
CF_TN3044/left_secant/257/BT_V_KINEMATIC_1/kinematics,True,
CF_TN3044/left_secant/257/BT_V_KINEMATIC_1/a_equals_sv,True,7.974371237817706e-16
CF_TN3044/left_secant/257/BT_V_KINEMATIC_1/unit_gain_invariant,True,2.3714374201337736e-16
CF_TN3044/left_secant/513/analytic_ss,True,1.2948324798032549e-15
CF_TN3044/left_secant/513/map_identity_not_calibration,True,1.2341438586247863e-15
CF_TN3044/left_secant/513/FULL_2/kinematics,True,
CF_TN3044/left_secant/513/FULL_2/a_equals_sv,True,1.3196104062835215e-15
CF_TN3044/left_secant/513/FULL_2/unit_gain_invariant,True,4.443059973708341e-16
CF_TN3044/left_secant/513/PHYSICAL_QS_1/kinematics,True,
CF_TN3044/left_secant/513/PHYSICAL_QS_1/a_equals_sv,True,4.805498892445717e-16
CF_TN3044/left_secant/513/PHYSICAL_QS_1/unit_gain_invariant,True,4.449557262054371e-16
CF_TN3044/left_secant/513/BT_V_KINEMATIC_1/kinematics,True,
CF_TN3044/left_secant/513/BT_V_KINEMATIC_1/a_equals_sv,True,7.974371237817706e-16
CF_TN3044/left_secant/513/BT_V_KINEMATIC_1/unit_gain_invariant,True,3.342213888644167e-16
CF_TN3044/right_secant/required_map_stable_proper,True,
CF_TN3044/right_secant/129/analytic_ss,True,1.156061516607175e-15
CF_TN3044/right_secant/129/map_identity_not_calibration,True,1.0350362991256063e-15
CF_TN3044/right_secant/129/FULL_2/kinematics,True,
CF_TN3044/right_secant/129/FULL_2/a_equals_sv,True,9.830835989171816e-16
CF_TN3044/right_secant/129/FULL_2/unit_gain_invariant,True,4.518280359883027e-16
CF_TN3044/right_secant/129/PHYSICAL_QS_1/kinematics,True,
CF_TN3044/right_secant/129/PHYSICAL_QS_1/a_equals_sv,True,3.911554077269263e-16
CF_TN3044/right_secant/129/PHYSICAL_QS_1/unit_gain_invariant,True,2.482534153247273e-16
CF_TN3044/right_secant/129/BT_V_KINEMATIC_1/kinematics,True,
CF_TN3044/right_secant/129/BT_V_KINEMATIC_1/a_equals_sv,True,5.253715323674652e-16
CF_TN3044/right_secant/129/BT_V_KINEMATIC_1/unit_gain_invariant,True,3.376611507232129e-16
CF_TN3044/right_secant/257/analytic_ss,True,1.156061516607175e-15
CF_TN3044/right_secant/257/map_identity_not_calibration,True,1.0350362991256063e-15
CF_TN3044/right_secant/257/FULL_2/kinematics,True,
CF_TN3044/right_secant/257/FULL_2/a_equals_sv,True,9.830835989171816e-16
CF_TN3044/right_secant/257/FULL_2/unit_gain_invariant,True,4.518280359883027e-16
CF_TN3044/right_secant/257/PHYSICAL_QS_1/kinematics,True,
CF_TN3044/right_secant/257/PHYSICAL_QS_1/a_equals_sv,True,5.883852704908821e-16
CF_TN3044/right_secant/257/PHYSICAL_QS_1/unit_gain_invariant,True,2.482534153247273e-16
CF_TN3044/right_secant/257/BT_V_KINEMATIC_1/kinematics,True,
CF_TN3044/right_secant/257/BT_V_KINEMATIC_1/a_equals_sv,True,5.253715323674652e-16
CF_TN3044/right_secant/257/BT_V_KINEMATIC_1/unit_gain_invariant,True,3.376611507232129e-16
CF_TN3044/right_secant/513/analytic_ss,True,1.508077386113561e-15
CF_TN3044/right_secant/513/map_identity_not_calibration,True,1.5475284320657739e-15
CF_TN3044/right_secant/513/FULL_2/kinematics,True,
CF_TN3044/right_secant/513/FULL_2/a_equals_sv,True,1.7602492506000708e-15
CF_TN3044/right_secant/513/FULL_2/unit_gain_invariant,True,6.661428497319261e-16
CF_TN3044/right_secant/513/PHYSICAL_QS_1/kinematics,True,
CF_TN3044/right_secant/513/PHYSICAL_QS_1/a_equals_sv,True,5.883852704908821e-16
CF_TN3044/right_secant/513/PHYSICAL_QS_1/unit_gain_invariant,True,4.447527879066319e-16
CF_TN3044/right_secant/513/BT_V_KINEMATIC_1/kinematics,True,
CF_TN3044/right_secant/513/BT_V_KINEMATIC_1/a_equals_sv,True,5.50534294494631e-16
CF_TN3044/right_secant/513/BT_V_KINEMATIC_1/unit_gain_invariant,True,4.47545209131181e-16
CF_TN3044/central_no_unknown_root/required_map_stable_proper,True,
CF_TN3044/central_no_unknown_root/129/analytic_ss,True,1.0342492200996011e-15
CF_TN3044/central_no_unknown_root/129/map_identity_not_calibration,True,9.464503479816638e-16
CF_TN3044/central_no_unknown_root/129/FULL_2/kinematics,True,
CF_TN3044/central_no_unknown_root/129/FULL_2/a_equals_sv,True,9.47213011528723e-16
CF_TN3044/central_no_unknown_root/129/FULL_2/unit_gain_invariant,True,4.441434166503682e-16
CF_TN3044/central_no_unknown_root/129/PHYSICAL_QS_1/kinematics,True,
CF_TN3044/central_no_unknown_root/129/PHYSICAL_QS_1/a_equals_sv,True,4.340102686202266e-16
CF_TN3044/central_no_unknown_root/129/PHYSICAL_QS_1/unit_gain_invariant,True,2.2887833992611187e-16
CF_TN3044/central_no_unknown_root/129/BT_V_KINEMATIC_1/kinematics,True,
CF_TN3044/central_no_unknown_root/129/BT_V_KINEMATIC_1/a_equals_sv,True,6.812325332993313e-16
CF_TN3044/central_no_unknown_root/129/BT_V_KINEMATIC_1/unit_gain_invariant,True,2.3714374201337736e-16
