law,epsilonA,input,output,bandLow_rad_s,bandHigh_rad_s,budgetFraction,selectedStates,qualified,boundOverFixedGainScale,actualErrorOverFixedGainScale,maxKappa,enclosureCalls,maxDepthUsed
cf_mean,0,common,accelerationUp,0.3,3,0.05,4,1,5.14871187964156e-31,5.3942313236139e-16,4.72583014383076e-33,12,0
cf_mean,0,common,hubForceRightMinusLeft,0.3,3,0.05,4,1,5.72222088396485e-17,1.61557228989616e-16,4.72583014383076e-33,12,0
cf_mean,0,common,accelerationUp,3,10,0.05,4,1,3.9087537985646e-32,6.13274497970489e-16,2.54950285751719e-33,12,0
cf_mean,0,common,hubForceRightMinusLeft,3,10,0.05,4,1,3.0837809974672e-17,1.07440315174712e-16,2.54950285751719e-33,12,0
cf_mean,0,common,accelerationUp,10,30,0.05,4,1,1.14560475325252e-32,9.19662414589871e-16,4.63092586480791e-33,12,0
cf_mean,0,common,hubForceRightMinusLeft,10,30,0.05,4,1,7.34902619765456e-17,5.33767072911128e-16,4.63092586480791e-33,12,0
cf_mean,0,mixed,accelerationUp,0.3,3,0.05,4,1,6.39345255021848e-18,4.90993403838906e-16,4.72583014383076e-33,12,0
cf_mean,0,mixed,hubForceRightMinusLeft,0.3,3,0.05,4,1,0.00490618247325819,0.00263679515748647,4.72583014383076e-33,12,0
cf_mean,0,mixed,accelerationUp,3,10,0.05,4,1,3.69924994043521e-18,5.40527377390877e-16,2.54950285751719e-33,12,0
cf_mean,0,mixed,hubForceRightMinusLeft,3,10,0.05,4,1,0.0135532307380586,0.00962593823846518,2.54950285751719e-33,12,0
cf_mean,0,mixed,accelerationUp,10,30,0.05,4,1,7.57037090664376e-18,9.20260698778439e-16,4.63092586480791e-33,12,0
cf_mean,0,mixed,hubForceRightMinusLeft,10,30,0.05,4,1,0.0499294836890562,0.0492476411095694,3.4276028068712e-33,30,4
cf_mean,0,differential,accelerationUp,0.3,3,0.05,4,1,7.03279780524022e-17,1.57960110650218e-16,4.72583014383076e-33,12,0
cf_mean,0,differential,hubForceRightMinusLeft,0.3,3,0.05,4,1,0.0444724846017898,0.0290047467323512,4.70369342810097e-33,15,1
cf_mean,0,differential,accelerationUp,3,10,0.05,4,1,4.06917493447872e-17,1.53542829278972e-16,2.54950285751719e-33,12,0
cf_mean,0,differential,hubForceRightMinusLeft,3,10,0.05,7,0,0.149085538118644,0.105885320623118,2.54950285751719e-33,67,5
cf_mean,0,differential,accelerationUp,10,30,0.05,4,1,8.32740799730813e-17,3.9268728021543e-16,4.63092586480791e-33,12,0
cf_mean,0,differential,hubForceRightMinusLeft,10,30,0.05,7,0,0.664083410433077,0.541724052205266,4.63092586480791e-33,24,0
cf_mean,0.02,common,accelerationUp,0.3,3,0.05,4,1,0.025621047347659,5.1334593168979e-06,0.000238027320278886,12,0
cf_mean,0.02,common,hubForceRightMinusLeft,0.3,3,0.05,4,1,0.0145546759026443,0.000386138360261748,0.000238027320278886,12,0
cf_mean,0.02,common,accelerationUp,3,10,0.05,4,1,0.00198623775162066,1.90549858477149e-05,0.000135358411687273,12,0
cf_mean,0.02,common,hubForceRightMinusLeft,3,10,0.05,4,1,0.00848557987113774,0.00150318032937166,0.000135358411687273,12,0
cf_mean,0.02,common,accelerationUp,10,30,0.05,4,1,0.000622179609789979,9.15803187240251e-05,0.000204244844687378,12,0
cf_mean,0.02,common,hubForceRightMinusLeft,10,30,0.05,4,1,0.0183752806180733,0.00966657179431608,0.000204244844687378,12,0
cf_mean,0.02,mixed,accelerationUp,0.3,3,0.05,4,1,0.0243485849970015,3.96738034971437e-05,0.000238027320278886,12,0
cf_mean,0.02,mixed,hubForceRightMinusLeft,0.3,3,0.05,4,1,0.0181634701210548,0.00298571726176026,0.000238027320278886,12,0
cf_mean,0.02,mixed,accelerationUp,3,10,0.05,4,1,0.0024833249081201,0.0001395637454959,0.000135358411687273,12,0
cf_mean,0.02,mixed,hubForceRightMinusLeft,3,10,0.05,4,1,0.0212701378389128,0.0109821041064055,0.000135358411687273,12,0
cf_mean,0.02,mixed,accelerationUp,10,30,0.05,4,1,0.00183742879035439,0.000556066155954481,0.000204244844687378,12,0
cf_mean,0.02,mixed,hubForceRightMinusLeft,10,30,0.05,7,0,0.0770882753044841,0.0580250242881894,0.000204244844687378,34,4
cf_mean,0.02,differential,accelerationUp,0.3,3,0.05,4,1,0.0143943252167933,0.000385338846026301,0.000238027320278886,12,0
cf_mean,0.02,differential,hubForceRightMinusLeft,0.3,3,0.05,4,1,0.0447874981896672,0.0289994508245088,0.00023650137858237,15,1
cf_mean,0.02,differential,accelerationUp,3,10,0.05,4,1,0.00864801698709796,0.00134616394740534,0.000135358411687273,12,0
cf_mean,0.02,differential,hubForceRightMinusLeft,3,10,0.05,7,0,0.14924715734398,0.105868383575813,0.000135358411687273,67,5
cf_mean,0.02,differential,accelerationUp,10,30,0.05,4,1,0.0150834036009844,0.00520223789897785,0.000204244844687378,12,0
cf_mean,0.02,differential,hubForceRightMinusLeft,10,30,0.05,7,0,0.664393398432372,0.541694021741311,0.000204244844687378,24,0
cf_mean,0.1,common,accelerationUp,0.3,3,0.05,4,1,0.0491436969950968,0.000128600331644466,0.00276310302522848,276,4
cf_mean,0.1,common,hubForceRightMinusLeft,0.3,3,0.05,4,1,0.0392618885790663,0.00192850272777655,0.00302207197124038,48,1
cf_mean,0.1,common,accelerationUp,3,10,0.05,4,1,0.0496482185935868,0.000477162974049196,0.00338372504191473,12,0
cf_mean,0.1,common,hubForceRightMinusLeft,3,10,0.05,4,1,0.0432020060863493,0.00750846298701297,0.00338372504191473,12,0
cf_mean,0.1,common,accelerationUp,10,30,0.05,4,1,0.0155612319501469,0.00229058573798231,0.00510293752392937,12,0
cf_mean,0.1,common,hubForceRightMinusLeft,10,30,0.05,4,1,0.0499810414656782,0.048319394638325,0.00348964416581145,72,5
cf_mean,0.1,mixed,accelerationUp,0.3,3,0.05,4,1,0.0494496854465121,0.000291452926800841,0.00276310302522848,255,4
cf_mean,0.1,mixed,hubForceRightMinusLeft,0.3,3,0.05,4,1,0.0380261081549499,0.00437247952767695,0.00302207197124038,48,1
cf_mean,0.1,mixed,accelerationUp,3,10,0.05,4,1,0.0488115618142333,0.00104265613491242,0.00338372504191473,12,0
cf_mean,0.1,mixed,hubForceRightMinusLeft,3,10,0.05,4,1,0.0488297610837889,0.0163843260625983,0.00329937759174615,18,1
cf_mean,0.1,mixed,accelerationUp,10,30,0.05,4,1,0.018603645529752,0.00444350551591373,0.00510293752392937,12,0
cf_mean,0.1,mixed,hubForceRightMinusLeft,10,30,0.05,7,0,0.145327892271969,0.093082646238149,0.00510293752392937,76,4
