law,epsilonA,input,output,bandLow_rad_s,bandHigh_rad_s,fixedScaleQualified,relativeQualified,actualErrorOverFixedScale,actualMaxRelativeError,relativeEnclosure,selectedStatesForRelativeBudget,nearZeroIntervals,enclosureCalls,maxDepthUsed
pp_mean,0.2,mixed,hubForceRightMinusLeft,3,10,1,0,0.01458878043091,0.0933529600848305,3.89617573162403,7,0,871,9
pp_mean,0.2,mixed,accelerationUp,10,30,1,1,0.0078330457408878,0.00775484250445846,0.0483273312954504,4,0,51,2
pp_mean,0.2,mixed,hubForceRightMinusLeft,10,30,0,0,0.106885519055289,0.397686598739131,Inf,7,0,24,0
pp_mean,0.2,differential,accelerationUp,0.3,3,1,1,0.00227821907775386,0.0247585326512389,0.0499897160878509,4,0,5640,8
pp_mean,0.2,differential,hubForceRightMinusLeft,0.3,3,1,1,0.0170209065486157,0.0252161027277068,0.0464561980710638,4,0,54,2
pp_mean,0.2,differential,accelerationUp,3,10,1,0,0.00789636678439964,0.0785720799181679,Inf,7,0,2075,11
pp_mean,0.2,differential,hubForceRightMinusLeft,3,10,0,0,0.0670212546627023,0.0937362016487254,0.178208592090532,7,0,109,6
pp_mean,0.2,differential,accelerationUp,10,30,1,0,0.0329542220533558,0.18039027100468,Inf,7,0,24,0
pp_mean,0.2,differential,hubForceRightMinusLeft,10,30,0,0,0.44242860098468,0.397512992822748,6.05593653404055,7,0,24,0
cf_mean,0,common,accelerationUp,0.3,3,1,1,5.3942313236139e-16,8.02819670208937e-16,2.15705307571223e-29,4,0,990,6
cf_mean,0,common,hubForceRightMinusLeft,0.3,3,1,0,1.61557228989616e-16,NaN,Inf,7,12,24,0
cf_mean,0,common,accelerationUp,3,10,1,1,6.13274497970489e-16,8.89322903440425e-16,3.6507419286622e-31,4,0,63,2
cf_mean,0,common,hubForceRightMinusLeft,3,10,1,0,1.07440315174712e-16,NaN,Inf,7,12,24,0
cf_mean,0,common,accelerationUp,10,30,1,1,9.19662414589871e-16,1.00849848883259e-15,4.86056887725974e-32,4,0,12,0
cf_mean,0,common,hubForceRightMinusLeft,10,30,1,0,5.33767072911128e-16,NaN,Inf,7,12,24,0
cf_mean,0,mixed,accelerationUp,0.3,3,1,1,4.90993403838906e-16,8.37161075592945e-16,7.54650860386465e-16,4,0,990,6
cf_mean,0,mixed,hubForceRightMinusLeft,0.3,3,1,1,0.00263679515748647,0.0424191927874655,0.0497482800623214,4,0,39,3
cf_mean,0,mixed,accelerationUp,3,10,1,1,5.40527377390877e-16,8.7962961996422e-16,9.64556495478462e-17,4,0,63,2
cf_mean,0,mixed,hubForceRightMinusLeft,3,10,1,0,0.00962593823846518,0.141856684001053,0.282298161998142,7,0,98,8
cf_mean,0,mixed,accelerationUp,10,30,1,1,9.20260698778439e-16,1.11007002162893e-15,1.62586869616458e-17,4,0,12,0
cf_mean,0,mixed,hubForceRightMinusLeft,10,30,1,0,0.0492476411095694,0.444803048801214,50.6320609528214,7,0,24,0
cf_mean,0,differential,accelerationUp,0.3,3,1,0,1.57960110650218e-16,NaN,Inf,7,12,24,0
cf_mean,0,differential,hubForceRightMinusLeft,0.3,3,1,1,0.0290047467323512,0.0424191927874655,0.0497482800623213,4,0,39,3
cf_mean,0,differential,accelerationUp,3,10,1,0,1.53542829278972e-16,NaN,Inf,7,12,24,0
cf_mean,0,differential,hubForceRightMinusLeft,3,10,0,0,0.105885320623118,0.141856684001054,0.282298161998142,7,0,98,8
cf_mean,0,differential,accelerationUp,10,30,1,0,3.9268728021543e-16,NaN,Inf,7,12,24,0
cf_mean,0,differential,hubForceRightMinusLeft,10,30,0,0,0.541724052205266,0.444803048801216,50.6320609528234,7,0,24,0
cf_mean,0.02,common,accelerationUp,0.3,3,1,1,5.1334593168979e-06,7.61818000635774e-06,0.0423696655519346,4,0,1011,6
cf_mean,0.02,common,hubForceRightMinusLeft,0.3,3,1,1,0.000386138360261748,0.0420069755318332,0.0499603592934219,4,0,3219,8
cf_mean,0.02,common,accelerationUp,3,10,1,1,1.90549858477149e-05,2.58602109631215e-05,0.0198193033974527,4,0,63,2
cf_mean,0.02,common,hubForceRightMinusLeft,3,10,1,0,0.00150318032937166,0.140648360130904,Inf,7,0,1478,11
cf_mean,0.02,common,accelerationUp,10,30,1,1,9.15803187240251e-05,7.66040757888078e-05,0.00264676624697516,4,0,12,0
cf_mean,0.02,common,hubForceRightMinusLeft,10,30,1,0,0.00966657179431608,0.443753345028536,Inf,7,0,24,0
cf_mean,0.02,mixed,accelerationUp,0.3,3,1,1,3.96738034971437e-05,6.46764380711737e-05,0.0485189835829585,4,0,1014,6
cf_mean,0.02,mixed,hubForceRightMinusLeft,0.3,3,1,1,0.00298571726176026,0.0423689920099404,0.0499585194239774,4,0,408,6
cf_mean,0.02,mixed,accelerationUp,3,10,1,1,0.0001395637454959,0.00020804804919397,0.041477207434111,4,0,63,2
cf_mean,0.02,mixed,hubForceRightMinusLeft,3,10,1,0,0.0109821041064055,0.141725421278474,0.480763690744684,7,0,329,9
cf_mean,0.02,mixed,accelerationUp,10,30,1,1,0.000556066155954481,0.000510724311524843,0.00614350517398307,4,0,12,0
cf_mean,0.02,mixed,hubForceRightMinusLeft,10,30,0,0,0.0580250242881894,0.444674315371351,Inf,7,0,24,0
cf_mean,0.02,differential,accelerationUp,0.3,3,1,0,0.000385338846026301,0.0419203545848057,Inf,7,0,8175,12
cf_mean,0.02,differential,hubForceRightMinusLeft,0.3,3,1,1,0.0289994508245088,0.0424153156424085,0.049904964799161,4,0,39,3
cf_mean,0.02,differential,accelerationUp,3,10,1,0,0.00134616394740534,0.126058575471296,Inf,7,0,24,0
cf_mean,0.02,differential,hubForceRightMinusLeft,3,10,0,0,0.105868383575813,0.141846304217156,0.282758922191754,7,0,98,8
cf_mean,0.02,differential,accelerationUp,10,30,1,0,0.00520223789897785,0.241209222339683,Inf,7,0,24,0
cf_mean,0.02,differential,hubForceRightMinusLeft,10,30,0,0,0.541694021741311,0.444796389231734,52.0854012905832,7,0,24,0
cf_mean,0.1,common,accelerationUp,0.3,3,1,1,0.000128600331644466,0.000191241106018468,0.0499700327347264,4,0,1398,7
cf_mean,0.1,common,hubForceRightMinusLeft,0.3,3,1,1,0.00192850272777655,0.0419175612480545,0.0499808047907537,4,0,3627,9
cf_mean,0.1,common,accelerationUp,3,10,1,1,0.000477162974049196,0.00064886067546945,0.0459624643968805,4,0,99,3
cf_mean,0.1,common,hubForceRightMinusLeft,3,10,1,0,0.00750846298701297,0.14040947184919,Inf,7,0,1787,11
cf_mean,0.1,common,accelerationUp,10,30,1,1,0.00229058573798231,0.0019177089982044,0.0405688130688948,4,0,18,1
cf_mean,0.1,common,hubForceRightMinusLeft,10,30,1,0,0.048319394638325,0.443601493283707,Inf,7,0,24,0
cf_mean,0.1,mixed,accelerationUp,0.3,3,1,1,0.000291452926800841,0.000473523513418445,0.0497971265202446,4,0,1416,7
cf_mean,0.1,mixed,hubForceRightMinusLeft,0.3,3,1,1,0.00437247952767695,0.0421636097089752,0.049994653808034,4,0,1491,7
cf_mean,0.1,mixed,accelerationUp,3,10,1,1,0.00104265613491242,0.00154843609460348,0.0446496844963989,4,0,111,3
cf_mean,0.1,mixed,hubForceRightMinusLeft,3,10,1,0,0.0163843260625983,0.141163246178542,Inf,7,0,1109,12
cf_mean,0.1,mixed,accelerationUp,10,30,1,1,0.00444350551591373,0.00405558137700645,0.0443531062835466,4,0,21,1
cf_mean,0.1,mixed,hubForceRightMinusLeft,10,30,0,0,0.093082646238149,0.444216276635557,Inf,7,0,24,0
cf_mean,0.1,differential,accelerationUp,0.3,3,1,0,0.00192437520271804,0.0418282298815656,Inf,7,0,9720,12
cf_mean,0.1,differential,hubForceRightMinusLeft,0.3,3,1,1,0.0288723692138492,0.0423221690836232,0.0498783957824502,4,0,57,4
cf_mean,0.1,differential,accelerationUp,3,10,1,0,0.00672254960329298,0.125814476715432,Inf,7,0,24,0
cf_mean,0.1,differential,hubForceRightMinusLeft,3,10,0,0,0.105462003246662,0.14159696536215,0.294102010601088,7,0,174,11
cf_mean,0.1,differential,accelerationUp,10,30,1,0,0.0259928951845901,0.241024891763075,Inf,7,0,24,0
cf_mean,0.1,differential,hubForceRightMinusLeft,10,30,0,0,0.540973488125605,0.444636511651713,165.272663593528,7,0,24,0
cf_mean,0.2,common,accelerationUp,0.3,3,1,1,0.000517719798677117,0.000774932901284017,0.0499747297560823,4,0,2721,8
cf_mean,0.2,common,hubForceRightMinusLeft,0.3,3,1,1,0.00384315683227355,0.0416369714335262,0.0499868836827446,4,0,5241,9
cf_mean,0.2,common,accelerationUp,3,10,1,1,0.00191855164960173,0.0026252320997758,0.0497276037365113,4,0,231,4
cf_mean,0.2,common,hubForceRightMinusLeft,3,10,1,0,0.0149699784419547,0.139660199954568,Inf,7,0,3002,12
cf_mean,0.2,common,accelerationUp,10,30,1,1,0.0091758305165033,0.00770355590147667,0.0479065518633769,4,0,63,2
cf_mean,0.2,common,hubForceRightMinusLeft,10,30,0,0,0.0965545101133622,0.443126545211365,Inf,7,0,24,0
cf_mean,0.2,mixed,accelerationUp,0.3,3,1,1,0.000818112388596582,0.00132868072960902,0.0499964420498717,4,0,2763,8
cf_mean,0.2,mixed,hubForceRightMinusLeft,0.3,3,1,1,0.00607504449880319,0.0418073913033535,0.0499516628705677,4,0,2859,8
cf_mean,0.2,mixed,accelerationUp,3,10,1,1,0.00295554414861559,0.00438471955553452,0.0499571524902177,4,0,252,4
cf_mean,0.2,mixed,hubForceRightMinusLeft,3,10,1,0,0.0230423439186627,0.140190288709309,Inf,7,0,1659,12
cf_mean,0.2,mixed,accelerationUp,10,30,1,1,0.0130525057844421,0.0118397104700349,0.0486998845162991,4,0,75,2
cf_mean,0.2,mixed,hubForceRightMinusLeft,10,30,0,0,0.136721661012996,0.443547441326109,Inf,7,0,24,0
cf_mean,0.2,differential,accelerationUp,0.3,3,1,0,0.00383409176147805,0.0415392291599292,Inf,7,0,11976,12
cf_mean,0.2,differential,hubForceRightMinusLeft,0.3,3,1,1,0.0284754984730467,0.0420299053784811,0.049707299683539,4,0,183,5
cf_mean,0.2,differential,accelerationUp,3,10,1,0,0.0133929953703389,0.125049412076411,Inf,7,0,24,0
cf_mean,0.2,differential,hubForceRightMinusLeft,3,10,0,0,0.104193437691471,0.140815000035267,0.333367030687756,7,0,120,7
cf_mean,0.2,differential,accelerationUp,10,30,0,0,0.0518713071983657,0.240448363318107,Inf,7,0,24,0
cf_mean,0.2,differential,hubForceRightMinusLeft,10,30,0,0,0.538724269256289,0.444136299741391,Inf,7,0,24,0
