law,reduction,omega_rad_s,fullReal,fullImag,reducedReal,reducedImag
pp_mean,algebraic_coning,0.203001851985968,-27.746255453541,-40.2791921789857,-27.6619280314435,-40.2641091547756
pp_mean,algebraic_coning,0.206538015581053,-28.3951293116406,-40.5211054935804,-28.3072346098978,-40.5063996834155
pp_mean,algebraic_coning,0.210135776904675,-29.0514696907752,-40.7538589411498,-28.9598880257691,-40.7396026785018
pp_mean,algebraic_coning,0.213796208950223,-29.7150089482448,-40.9771639831267,-29.6196190084718,-40.9634342717461
pp_mean,algebraic_coning,0.217520403401952,-30.3854649407454,-41.1907409260587,-30.2861439185465,-41.1776195606828
pp_mean,algebraic_coning,0.221309470960564,-31.0625413650787,-41.3943197786679,-30.959165096082,-41.3818934583036
pp_mean,algebraic_coning,0.225164541674462,-31.7459281575257,-41.5876410962388,-31.6383712673506,-41.5760015292734
pp_mean,algebraic_coning,0.229086765276777,-32.4353019516045,-41.7704568077824,-32.3234380093026,-41.7597008081955
pp_mean,algebraic_coning,0.233077311528264,-33.1303265935328,-41.9425310213928,-33.0140282711712,-41.932760595374
pp_mean,algebraic_coning,0.237137370566166,-33.8306537143115,-42.1036408032178,-33.7097929520344,-42.0949632255324
pp_mean,algebraic_coning,0.241268153259163,-34.5359233569408,-42.2535769255167,-34.4103715327764,-42.246104805002
pp_mean,algebraic_coning,0.245470891568503,-35.245764656869,-42.3921445793576,-35.115392760487,-42.3859959129885
pp_mean,algebraic_coning,0.249746838915414,-35.9597965733718,-42.5191640476428,-35.8244753829364,-42.5144622626584
pp_mean,algebraic_coning,0.254097270554931,-36.6776286691682,-42.6344713343119,-36.5372289303755,-42.631345317963
pp_mean,algebraic_coning,0.258523483956219,-37.3988619351953,-42.7379187457861,-37.2532545415353,-42.7365028623298
pp_mean,algebraic_coning,0.263026799189538,-38.1230896571034,-42.8293754209606,-37.9721458303439,-42.8298095156073
pp_mean,algebraic_coning,0.267608559319933,-38.8498983196948,-42.908727806339,-38.6934897895469,-42.9111571959345
pp_mean,algebraic_coning,0.272270130807791,-39.578868545212,-42.9758800732217,-39.4168677271101,-42.9804555235326
pp_mean,algebraic_coning,0.277012903916373,-40.309576061105,-43.0307544742102,-40.1418562310104,-43.0376321637684
pp_mean,algebraic_coning,0.281838293126445,-41.0415926926507,-43.0732916366717,-40.8680281577792,-43.0826331072225
pp_mean,algebraic_coning,0.286747737558132,-41.7744873755956,-43.1034507912099,-41.5949536399608,-43.1154228849014
pp_mean,algebraic_coning,0.291742701400117,-42.5078271838131,-43.1212099336156,-42.3222011074871,-43.135984717157
pp_mean,algebraic_coning,0.296824674346324,-43.2411783668451,-43.1265659192119,-43.0493383178468,-43.1443205953203
pp_mean,algebraic_coning,0.301995172040202,-43.9741073921083,-43.119534488962,-43.775933389857,-43.140451295509
pp_mean,algebraic_coning,0.307255736526745,-44.7061819865082,-43.1001502271693,-44.5015558358084,-43.124416324523
pp_mean,algebraic_coning,0.312607936712396,-45.43697217221,-43.0684664510594,-45.2257775867725,-43.0962737982048
pp_mean,algebraic_coning,0.318053368832952,-46.1660512913657,-43.024555032996,-45.9481740059203,-43.0561002530954
pp_mean,algebraic_coning,0.323593656929628,-46.8929970146948,-42.9685061565307,-46.6683248848033,-43.0039903926605
pp_mean,algebraic_coning,0.329230453333406,-47.6173923289557,-42.900428007926,-47.3858154176956,-42.9400567697971
pp_mean,algebraic_coning,0.334965439157828,-48.3388264985269,-42.8204464052129,-48.1002371492851,-42.8644294077413
pp_mean,algebraic_coning,0.340800324800365,-49.0568959965378,-42.7287043672384,-48.8111888912272,-42.7772553618923
pp_mean,algebraic_coning,0.346736850452532,-49.7712054012484,-42.6253616255363,-49.5182776033385,-42.6786982254291
pp_mean,algebraic_coning,0.352776786618874,-50.4813682536662,-42.5105940821937,-50.2211192355001,-42.5689375819351
pp_mean,algebraic_coning,0.358921934645005,-51.1870078727122,-42.3845932171968,-50.9193395266682,-42.4481684085444
pp_mean,algebraic_coning,0.365174127254838,-51.8877581245904,-42.2475654490159,-51.6125747577324,-42.3166004333901
pp_mean,algebraic_coning,0.371535229097173,-52.5832641433882,-42.0997314524238,-52.3004724553364,-42.1744574513653
pp_mean,algebraic_coning,0.378007137301811,-53.2731830003133,-41.9413254377432,-52.9826920441547,-42.0219766023956
pp_mean,algebraic_coning,0.384591782045354,-53.9571843193763,-41.7725943958733,-53.6589054455205,-41.8594076165695
pp_mean,algebraic_coning,0.391291127126853,-54.6349508377283,-41.5937973135645,-54.3287976206991,-41.6870120305845
pp_mean,algebraic_coning,0.398107170553497,-55.3061789092749,-41.4052043634871,-54.9920670575093,-41.5050623800339
pp_mean,algebraic_coning,0.405041945136493,-55.9705789505925,-41.2070960736733,-55.6484261993985,-41.3138413720856
pp_mean,algebraic_coning,0.41209751909733,-56.6278758285788,-40.9997624809104,-56.2976018164753,-41.1136410430985
pp_mean,algebraic_coning,0.419275996684605,-57.27780918966,-40.7835022726234,-56.9393353183934,-40.9047619056691
pp_mean,algebraic_coning,0.426579518801593,-57.9201337307598,-40.5586219217041,-57.5733830093537,-40.6875120895236
pp_mean,algebraic_coning,0.434010263644744,-58.5546194125984,-40.3254348186394,-58.1995162858527,-40.4622064805514
pp_mean,algebraic_coning,0.441570447353313,-59.1810516162376,-40.0842604051451,-58.8175217781423,-40.2291658621326
pp_mean,algebraic_coning,0.449262324670293,-59.7992312441091,-39.8354233133441,-59.4272014366846,-39.9887160627375
pp_mean,algebraic_coning,0.457088189614875,-60.4089747670655,-39.5792525143359,-60.0283725651787,-39.7411871135796
pp_mean,algebraic_coning,0.465050376166606,-61.0101142192654,-39.3160804797806,-60.6208678020004,-39.486912419884
pp_mean,algebraic_coning,0.473151258961481,-61.602497142953,-39.0462423598949,-61.2045350521416,-39.2262279490969
pp_mean,algebraic_coning,0.481393254000145,-62.1859864854095,-38.7700751809979,-61.7792373719412,-38.9594714391112
pp_mean,algebraic_coning,0.489778819368446,-62.7604604505446,-38.4879170654892,-62.3448528090865,-38.6869816293184
pp_mean,algebraic_coning,0.49831045597053,-63.3258123077572,-38.2001064768638,-62.9012742005191,-38.4090975170288
pp_mean,algebraic_coning,0.506990708274704,-63.8819501608261,-37.9069814920966,-63.4484089309995,-38.1261576415233
pp_mean,algebraic_coning,0.515822165072306,-64.4287966796959,-37.6088791034465,-63.9861786551905,-37.8384993977249
pp_mean,algebraic_coning,0.524807460249773,-64.9662887980986,-37.3061345514487,-64.5145189861815,-37.5464583811967
pp_mean,algebraic_coning,0.533949273574177,-65.4943773800019,-36.9990806905916,-65.0333791534256,-37.2503677659031
pp_mean,algebraic_coning,0.543250331492433,-66.0130268578978,-36.6880473888972,-65.542721633079,-36.9505577158985
pp_mean,algebraic_coning,0.552713407944435,-66.5222148459482,-36.3733609623644,-66.0425217537264,-36.6473548318491
pp_mean,algebraic_coning,0.562341325190349,-67.0219317309781,-36.0553436449744,-66.5327672804527,-36.3410816330417
pp_mean,algebraic_coning,0.572136954652326,-67.5121802442704,-35.7343130947185,-67.0134579801739,-36.0320560752914
pp_mean,algebraic_coning,0.582103217770871,-67.9929750170485,-35.410581935872,-67.4846051710757,-35.7205911049347
pp_mean,algebraic_coning,0.592243086876131,-68.4643421224615,-35.0844573375235,-67.9462312589295,-35.4069942488804
pp_mean,algebraic_coning,0.602559586074358,-68.9263186067904,-34.7562406281622,-68.3983692629588,-35.0915672404893
pp_mean,algebraic_coning,0.613055792149821,-69.3789520124892,-34.4262269459406,-68.841062333823,-34.7746056808727
pp_mean,algebraic_coning,0.623734835482419,-69.8222998955601,-34.0947049240547,-69.2743632661689,-34.456398735029
pp_mean,algebraic_coning,0.634599900981287,-70.2564293396339,-33.7619564105288,-69.6983340080707,-34.1372288620876
pp_mean,algebraic_coning,0.645654229034656,-70.6814164689969,-33.4282562215515,-70.1130451695502,-33.8173715787908
pp_mean,algebraic_coning,0.656901116476266,-71.0973459626658,-33.0938719273854,-70.5185755322273,-33.4970952552267
pp_mean,algebraic_coning,0.668343917568615,-71.50431057147,-32.759063669762,-70.9150115620102,-33.176660941718
pp_mean,algebraic_coning,0.679986045003322,-71.9024106399584,-32.4240840095845,-71.3024469265911,-32.8563222256856
pp_mean,algebraic_coning,0.691830970918936,-72.2917536347997,-32.0891778036787,-71.6809820193672,-32.5363251172287
pp_mean,algebraic_coning,0.703882227936457,-72.6724536812012,-31.754582109269,-72.0507234912627,-32.2169079621026
pp_mean,algebraic_coning,0.716143410212902,-73.04463110873,-31.4205261148091,-72.4117837917867,-31.8983013807281
pp_mean,algebraic_coning,0.728618174513228,-73.4084120077746,-31.0872310957532,-72.7642807205191,-31.5807282318322
pp_mean,algebraic_coning,0.741310241300917,-73.7639277977523,-30.7549103938333,-73.1083369900823,-31.2644035992945
pp_mean,algebraic_coning,0.754223395847571,-74.1113148080318,-30.4237694183902,-73.4440798015231,-30.9495348007635
pp_mean,algebraic_coning,0.767361489361819,-74.4507138724118,-30.0940056683016,-73.7716404329046,-30.6363214166027
pp_mean,algebraic_coning,0.780728440137907,-74.7822699378763,-29.7658087730554,-74.0911538417825,-30.3249553377345
pp_mean,algebraic_coning,0.794328234724281,-75.1061316882261,-29.4393605515308,-74.4027582821274,-30.0156208309637
pp_mean,algebraic_coning,0.808164929112537,-75.4224511830807,-29.1148350870675,-74.7065949361456,-29.7084946203849
pp_mean,algebraic_coning,0.822242649947071,-75.7313835126342,-28.7923988174326,-75.0028075613461,-29.4037459835067
pp_mean,algebraic_coning,0.83656559575581,-76.0330864684594,-28.4722106383287,-75.2915421531067,-29.1015368607609
pp_mean,algebraic_coning,0.851138038202377,-76.3277202305558,-28.1544220191204,-75.5729466229028,-28.8020219771017
pp_mean,algebraic_coning,0.865964323360065,-76.6154470707587,-27.8391771295046,-75.8471704922803,-28.5053489744454
pp_mean,algebraic_coning,0.881048873008014,-76.8964310725502,-27.5266129758907,-76.1143646025758,-28.2116585537471
pp_mean,algebraic_coning,0.89639618594995,-77.1708378672377,-27.2168595463085,-76.3746808403226,-27.9210846255596
pp_mean,algebraic_coning,0.91201083935591,-77.4388343864079,-26.9100399627109,-76.6282718782124,-27.6337544679723
pp_mean,algebraic_coning,0.927897490127331,-77.7005886305041,-26.6062706395913,-76.8752909314325,-27.3497888908799
pp_mean,algebraic_coning,0.944060876285923,-77.9562694533237,-26.3056614478897,-77.1158915291423,-27.0693024055851
pp_mean,algebraic_coning,0.960505818386731,-78.2060463621886,-26.0083158832141,-77.3502273008116,-26.7924033987946
pp_mean,algebraic_coning,0.977237220955811,-78.4500893335026,-25.7143312374594,-77.5784517771039,-26.5191943101222
pp_mean,algebraic_coning,0.994260073952957,-78.6885686433738,-25.4237987729589,-77.8007182049528,-26.2497718122653
pp_mean,algebraic_coning,1.0115794542599,-78.9216547129533,-25.136803898358,-78.0171793764507,-25.9842269930786
pp_mean,algebraic_coning,1.02920052719443,-79.1495179681164,-24.8534263454495,-78.2279874711471,-25.7226455388181
pp_mean,algebraic_coning,1.0471285480509,-79.3723287130934,-24.5737403462642,-78.4332939113316,-25.4651079178815
pp_mean,algebraic_coning,1.06536886366756,-79.5902570176403,-24.2978148097583,-78.6332492298602,-25.2116895644227
pp_mean,algebraic_coning,1.0839269140212,-79.8034726173312,-24.0257134974859,-78.8280029500747,-24.9624610612639
pp_mean,algebraic_coning,1.10280823384955,-80.0121448265418,-23.7574951976952,-79.0177034773525,-24.7174883215778
pp_mean,algebraic_coning,1.12201845430196,-80.2164424636931,-23.4932138973254,-79.2024980018209,-24.4768327688579
pp_mean,algebraic_coning,1.14156330461885,-80.4165337883189,-23.2329189514297,-79.3825324117648,-24.2405515147348
pp_mean,algebraic_coning,1.16144861384034,-80.6125864495231,-22.976655249584,-79.5579512172601,-24.0086975342423
pp_mean,algebraic_coning,1.18168031254478,-80.8047674453978,-22.724463378883,-79.728897483562,-23.781319838171
pp_mean,algebraic_coning,1.20226443461741,-80.9932430929735,-22.4763797831593,-79.8955127737859,-23.5584636421875
pp_mean,algebraic_coning,1.22320711904993,-81.1781790082863,-22.2324369180934,-80.0579371004216,-23.3401705324314
pp_mean,algebraic_coning,1.24451461177139,-81.3597400961509,-21.9926634019154,-80.2163088852297,-23.1264786273329
pp_mean,algebraic_coning,1.26619326751094,-81.5380905492416,-21.7570841614274,-80.3707649270775,-22.917422735427
pp_mean,algebraic_coning,1.28824955169313,-81.7133938560944,-21.5257205731002,-80.5214403772819,-22.7130345089668
pp_mean,algebraic_coning,1.31069004236608,-81.8858128176552,-21.2985905990258,-80.6684687220366,-22.5133425931671
pp_mean,algebraic_coning,1.33352143216332,-82.0555095720141,-21.0757089175258,-80.8119817715136,-22.3183727709296
pp_mean,algebraic_coning,1.35675053029986,-82.2226456269805,-20.8570870482384,-80.9521096552392,-22.1281481029305
pp_mean,algebraic_coning,1.38038426460288,-82.3873819001672,-20.6427334715216,-81.0889808233604,-21.9426890629642
pp_mean,algebraic_coning,1.40442968357795,-82.5498787662685,-20.4326537420305,-81.2227220534266,-21.7620136684621
pp_mean,algebraic_coning,1.4288939585111,-82.7102961112335,-20.2268505963358,-81.3534584623281,-21.5861376061197
pp_mean,algebraic_coning,1.45378438560766,-82.8687933930513,-20.0253240544654,-81.4813135230441,-21.415074352581
pp_mean,algebraic_coning,1.47910838816821,-83.0255297088807,-19.8280715152605,-81.6064090858674,-21.2488352901443
pp_mean,algebraic_coning,1.50487351880251,-83.1806638682752,-19.6350878454458,-81.7288654037844,-21.0874298174658
pp_mean,algebraic_coning,1.53108746168203,-83.3343544722687,-19.4463654623196,-81.8488011617048,-20.9308654552482
pp_mean,algebraic_coning,1.5577580348316,-83.4867599981043,-19.2618944099751,-81.9663335092457,-20.7791479469118
pp_mean,algebraic_coning,1.58489319246111,-83.6380388894048,-19.0816624289674,-82.0815780967882,-20.6322813542558
pp_mean,algebraic_coning,1.61250102733774,-83.7883496515999,-18.9056550193421,-82.1946491145379,-20.4902681481216
pp_mean,algebraic_coning,1.64058977319954,-83.9378509524393,-18.7338554969408,-82.3056593343291,-20.3531092940806
pp_mean,algebraic_coning,1.66916780721106,-84.086701727438,-18.5662450429002,-82.4147201539295,-20.220804333172
pp_mean,algebraic_coning,1.69824365246174,-84.2350612901143,-18.4028027462543,-82.5219416436059,-20.0933514577215
pp_mean,algebraic_coning,1.72782598050786,-84.383089446896,-18.2435056395497,-82.627432594728,-19.9707475822758
pp_mean,algebraic_coning,1.75792361395869,-84.5309466165829,-18.0883287273744,-82.7313005701942,-19.8529884096901
pp_mean,algebraic_coning,1.78854552910777,-84.6787939542722,-17.9372450076963,-82.833651956471,-19.7400684924107
pp_mean,algebraic_coning,1.81970085860998,-84.8267934796603,-17.790225485897,-82.9345920170514,-19.6319812889916
pp_mean,algebraic_coning,1.85139889420527,-84.9751082096526,-17.6472391813794,-83.0342249471385,-19.5287192158917
pp_mean,algebraic_coning,1.8836490894898,-85.1239022952241,-17.5082531266136,-83.1326539293759,-19.4302736945932
pp_mean,algebraic_coning,1.91646106273539,-85.2733411624832,-17.373232358476,-83.2299811904457,-19.3366351940884
pp_mean,algebraic_coning,1.94984459975805,-85.423591657907,-17.2421399017196,-83.3263080583664,-19.2477932687754
pp_mean,algebraic_coning,1.98380965683651,-85.5748221977222,-17.1149367444031,-83.4217350203267,-19.1637365918096
pp_mean,algebraic_coning,2.01836636368156,-85.7272029214213,-16.991581805084,-83.5163617808952,-19.0844529839504
pp_mean,algebraic_coning,2.05352502645715,-85.8809058494091,-16.8720318915682,-83.6102873204517,-19.0099294379467
pp_mean,algebraic_coning,2.08929613085404,-86.0361050447866,-16.7562416509862,-83.7036099536887,-18.9401521385016
pp_mean,algebraic_coning,2.12569034521711,-86.1929767792882,-16.6441635109467,-83.7964273880348,-18.875106477854
pp_mean,algebraic_coning,2.16271852372702,-86.3516997033933,-16.535747611494,-83.8888367818537,-18.8147770670162
pp_mean,algebraic_coning,2.2003917096374,-86.5124550206447,-16.4309417275748,-83.9809348022757,-18.7591477427032
pp_mean,algebraic_coning,2.23872113856834,-86.6754266662102,-16.3296911816914,-84.0728176825172,-18.7082015699895
pp_mean,algebraic_coning,2.27771824185732,-86.8408014897311,-16.2319387463911,-84.1645812785461,-18.6619208407254
pp_mean,algebraic_coning,2.31739464996848,-87.0087694425062,-16.1376245362147,-84.2563211249513,-18.6202870677472
pp_mean,algebraic_coning,2.35776219596125,-87.1795237690653,-16.046685888693,-84.3481324898716,-18.5832809749119
pp_mean,algebraic_coning,2.39883291901949,-87.3532612031885,-15.9590572339473,-84.4401104288409,-18.550882482987
pp_mean,algebraic_coning,2.44061906804198,-87.5301821684323,-15.8746699524156,-84.5323498374012,-18.5230706914256
pp_mean,algebraic_coning,2.48313310529557,-87.7104909832239,-15.7934522201878,-84.6249455023377,-18.4998238560573
pp_mean,algebraic_coning,2.5263877101319,-87.8943960705871,-15.7153288413905,-84.7179921513816,-18.481119362724
pp_mean,algebraic_coning,2.57039578276886,-88.0821101725626,-15.6402210670231,-84.8115845012272,-18.4669336968925
pp_mean,algebraic_coning,2.615170448138,-88.2738505693839,-15.5680463995966,-84.9058173037046,-18.457242409274
pp_mean,algebraic_coning,2.66072505979881,-88.4698393034682,-15.4987183828809,-85.0007853899441,-18.4520200774842
pp_mean,algebraic_coning,2.70707320392136,-88.6703034082772,-15.4321463760115,-85.0965837123657,-18.45124026378
pp_mean,algebraic_coning,2.75422870333817,-88.8754751420954,-15.3682353111528,-85.1933073843193,-18.4548754689087
pp_mean,algebraic_coning,2.80220562166675,-89.0855922267697,-15.3068854338535,-85.2910517171994,-18.462897082112
pp_mean,algebraic_coning,2.85101826750391,-89.3008980914415,-15.2479920251685,-85.3899122548478,-18.4752753273293
pp_mean,algebraic_coning,2.90068119869315,-89.5216421212925,-15.1914451045509,-85.4899848050561,-18.4919792056505
pp_mean,algebraic_coning,2.95120922666639,-89.7480799113113,-15.1371291124473,-85.5913654679704,-18.512976434072
pp_mean,algebraic_coning,3.00261742086127,-89.9804735250706,-15.0849225714511,-85.6941506611958,-18.5382333806199
pp_mean,algebraic_coning,3.05492111321551,-90.2190917584883,-15.0346977247839,-85.7984371413902,-18.5677149959067
pp_mean,algebraic_coning,3.10813590273948,-90.464210408519,-14.9863201507898,-85.9043220221325,-18.6013847412006
pp_mean,algebraic_coning,3.16227766016838,-90.7161125466986,-14.9396483520268,-86.0119027878414,-18.6392045130922
pp_mean,algebraic_coning,3.2173625326956,-90.9750887974335,-14.8945333174434,-86.1212773035147,-18.6811345648561
pp_mean,algebraic_coning,3.27340694878838,-91.241437620893,-14.8508180560123,-86.2325438200545,-18.727133424615
pp_mean,algebraic_coning,3.33042762308746,-91.5154656003171,-14.8083371000834,-86.3458009749352,-18.7771578104264
pp_mean,algebraic_coning,3.38844156139203,-91.7974877335143,-14.7669159765846,-86.4611477879655,-18.831162542426
pp_mean,algebraic_coning,3.44746606573149,-92.0878277282643,-14.7263706440703,-86.5786836518931,-18.8891004521765
pp_mean,algebraic_coning,3.50751873952568,-92.3868183012849,-14.6865068934683,-86.6985083175904,-18.9509222893875
pp_mean,algebraic_coning,3.56861749283481,-92.6948014803527,-14.6471197102217,-86.8207218735619,-19.0165766261873
pp_mean,algebraic_coning,3.63078054770101,-93.0121289090888,-14.6079925953561,-86.9454247195044,-19.0860097591481
pp_mean,algebraic_coning,3.69402644358283,-93.3391621538373,-14.5688968428205,-87.0727175336526,-19.1591656092851
