time_s,wDown,accelerationDown,aeroThrust1,aeroThrust2,hubThrust1,hubThrust2,vi1,vi2,beta1,beta2,betaRate1,betaRate2
1.685,-0.232155006209676,-0.172782681980968,29938.2495805046,29938.2495805046,29938.2980459429,29938.2980459429,16.3004349402666,16.3004349402666,0.0343570170605067,0.0343570170605067,-8.90823383359036e-05,-8.90823383359036e-05
1.69,-0.233018550364447,-0.172634537202024,29937.7550185771,29937.7550185771,29937.8536116061,29937.8536116061,16.2998620589134,16.2998620589134,0.0343565684294379,0.0343565684294379,-9.05331424880319e-05,-9.05331424880319e-05
1.695,-0.233881345904572,-0.172482999971197,29937.2626776244,29937.2626776244,29937.3989999136,29937.3989999136,16.299290879769,16.299290879769,0.0343561102901371,0.0343561102901371,-9.28452736804633e-05,-9.28452736804633e-05
1.7,-0.23474337269876,-0.172326879855351,29936.7713818179,29936.7713818179,29936.930639566,29936.930639566,16.2987214092391,16.2987214092391,0.0343556389847982,0.0343556389847982,-9.57514128782577e-05,-9.57514128782577e-05
1.705,-0.235604605871017,-0.17216547777469,29936.2799878881,29936.2799878881,29936.4464333241,29936.4464333241,16.2981535544123,16.2981535544123,0.0343551522857442,0.0343551522857442,-9.89515179848224e-05,-9.89515179848224e-05
1.71,-0.236465018343005,-0.171998612281969,29935.7874814222,29935.7874814222,29935.9458368459,29935.9458368459,16.2975871378997,16.2975871378997,0.0343546494885527,0.0343546494885527,-0.000102140962491012,-0.000102140962491012
1.715,-0.237324583390361,-0.171826599384461,29935.293055389,29935.293055389,29935.4297981534,29935.4297981534,16.2970219189308,16.2970219189308,0.0343541313673773,0.0343541313673773,-0.000105037122734971,-0.000105037122734971
1.72,-0.238183276991568,-0.171650190862914,29934.7961653472,29934.7961653472,29934.9005725887,29934.9005725887,16.2964576184569,16.2964576184569,0.0343536000058514,0.0343536000058514,-0.000107402228276168,-0.000107402228276168
1.725,-0.239041079781166,-0.171470479278086,29934.296558192,29934.296558192,29934.3614378343,29934.3614378343,16.2958939458164,16.2958939458164,0.0343530585267665,0.0343530585267665,-0.000109060763338736,-0.000109060763338736
1.73,-0.239897978466246,-0.171288780161563,29933.7942737884,29933.7942737884,29933.8163404847,29933.8163404847,16.2953306245569,16.2953306245569,0.0343525107508376,0.0343525107508376,-0.000109910295640165,-0.000109910295640165
1.735,-0.240753966621191,-0.171106503129002,29933.2896212293,29933.2896212293,29933.269509387,29933.269509387,16.2947674152443,16.2947674152443,0.0343519608188914,0.0343519608188914,-0.000109925253465799,-0.000109925253465799
1.74,-0.241609044835158,-0.170925023797078,29932.783133518,29932.783133518,29932.7250713912,29932.7250713912,16.2942041335016,16.2942041335016,0.0343514128125879,0.0343514128125879,-0.000109153813134953,-0.000109153813134953
1.745,-0.242463220244365,-0.170745567494173,29932.2755060784,29932.2755060784,29932.1867024825,29932.1867024825,16.2936406620506,16.2936406620506,0.0343508704064861,0.0343508704064861,-0.000107708641936128,-0.000107708641936128
1.75,-0.243316505532064,-0.170569113977394,29931.7675255119,29931.7675255119,29931.6573419322,29931.6573419322,16.2930769561341,16.2930769561341,0.03435033657929,0.03435033657929,-0.000105752719955892,-0.000105752719955892
1.755,-0.244168917519298,-0.170396329919563,29931.2599954217,29931.2599954217,29931.1389897587,29931.1389897587,16.2925130423093,16.2925130423093,0.0343498134050815,0.0343498134050815,-0.000103481803977002,-0.000103481803977002
1.76,-0.245020475496255,-0.170227533067031,29930.7536659012,29930.7536659012,29930.6325992011,29930.6325992011,16.2919490111745,16.2919490111745,0.0343493019370107,0.0343493019370107,-0.000101105278053846,-0.000101105278053846
1.765,-0.24587119945609,-0.170062688968107,29930.2491725159,29930.2491725159,29930.1380669043,29930.1380669043,16.2913850050766,16.2913850050766,0.0343488021870767,0.0343488021870767,-9.88271538061845e-05,-9.88271538061845e-05
1.77,-0.246721108390263,-0.16990143830066,29929.7469893828,29929.7469893828,29929.654314902,29929.654314902,16.2908212022074,16.2908212022074,0.0343483131970929,0.0343483131970929,-9.68288485808883e-05,-9.68288485808883e-05
1.775,-0.247570218788152,-0.169743150325142,29929.2473994179,29929.2473994179,29929.1794509754,29929.1794509754,16.290257798709,16.290257798709,0.0343478331884108,0.0343478331884108,-9.52551036693909e-05,-9.52551036693909e-05
1.78,-0.248418543456183,-0.169586996045709,29928.7504831309,29928.7504831309,29928.7109881371,29928.7109881371,16.2896949904702,16.2896949904702,0.0343473597720386,0.0343473597720386,-9.42040397199579e-05,-9.42040397199579e-05
1.785,-0.249266090736223,-0.169432033406562,29928.2561256488,29928.2561256488,29928.2461002197,29928.2461002197,16.2891329562052,16.2891329562052,0.0343468901968558,0.0343468901968558,-9.37219207131411e-05,-9.37219207131411e-05
1.79,-0.250112864163003,-0.169277296343503,29927.7640401026,29927.7640401026,29927.7818890305,29927.7818890305,16.2885718431839,16.2885718431839,0.0343464216118845,0.0343464216118845,-9.3802752269251e-05,-9.3802752269251e-05
1.795,-0.250958862559745,-0.169121879744379,29927.2738042287,29927.2738042287,29927.3156392331,29927.3156392331,16.2880117566625,16.2880117566625,0.0343459513190236,0.0343459513190236,-9.43924144470695e-05,-9.43924144470695e-05
1.8,-0.251804080533418,-0.168965013274458,29926.7849061125,29926.7849061125,29926.8450398234,29926.8450398234,16.2874527536679,16.2874527536679,0.034345476995113,0.034345476995113,-9.53966588817508e-05,-9.53966588817508e-05
1.805,-0.252648509299265,-0.168806118470706,29926.2967944994,29926.2967944994,29926.3683554121,29926.3683554121,16.2868948413727,16.2868948413727,0.0343449968662982,0.0343449968662982,-9.66920132231378e-05,-9.66920132231378e-05
1.81,-0.253492137740723,-0.16864484533871,29925.8089290171,29925.8089290171,29925.8845360161,29925.8845360161,16.2863379798806,16.2863379798806,0.0343445098229579,0.0343445098229579,-9.81384513222545e-05,-9.81384513222545e-05
1.815,-0.254334953597016,-0.168481086714582,29925.3208259847,29925.3208259847,29925.3932601437,29925.3932601437,16.2857820888792,16.2857820888792,0.0343440154693979,0.0343440154693979,-9.9592614320751e-05,-9.9592614320751e-05
1.82,-0.255176944667201,-0.168314970691637,29924.832096164,29924.832096164,29924.8949120749,29924.8949120749,16.2852270573174,16.2852270573174,0.0343435141085377,0.0343435141085377,-0.000100920404348097,-0.000100920404348097
1.825,-0.256018099925671,-0.168146833282836,29924.3424717541,29924.3424717541,29924.3904998485,29924.3904998485,16.2846727550632,16.2846727550632,0.0343430066674091,0.0343430066674091,-0.000102007908156575,-0.000102007908156575
1.83,-0.256858410459048,-0.16797717504406,29923.8518210469,29923.8518210469,29923.8815251322,29923.8815251322,16.2841190454008,16.2841190454008,0.0343424945739872,0.0343424945739872,-0.000102769824202446,-0.000102769824202446
1.835,-0.257697870156037,-0.167806606508845,29923.3601503318,29923.3601503318,29923.3698195265,29923.3698195265,16.2835657972301,16.2835657972301,0.0343419795993437,0.0343419795993437,-0.00010315483916468,-0.00010315483916468
1.84,-0.258536476107828,-0.167635787914415,29922.8675937689,29922.8675937689,29922.8573637432,29922.8573637432,16.2830128959372,16.2830128959372,0.0343414636811334,0.0343414636811334,-0.000103147701312008,-0.000103147701312008
1.845,-0.259374228704557,-0.167465368812053,29922.374392936,29922.374392936,29922.3461064362,29922.3461064362,16.2824602520916,16.2824602520916,0.0343409487449296,0.0343409487449296,-0.000102768040465816,-0.000102768040465816
1.85,-0.260211131440528,-0.167295932777771,29921.8808685268,29921.8808685268,29921.8377983333,29921.8377983333,16.2819078073685,16.2819078073685,0.0343404365389637,0.0343404365389637,-0.000102066261443524,-0.000102066261443524
