theta0_deg,memory,time_s,V4_CT,OFF_CT,V4_non_eq_CT,OFF_non_eq_CT
7,PP,0.31,0.0100213954624994,0.0100264669759287,-8.26045375006499e-05,-7.75330240712722e-05
7,PP,0.312,0.0100289195300729,0.0100333765507465,-7.50804699270833e-05,-7.06234492534874e-05
7,PP,0.314,0.0100357559756868,0.0100396672437022,-6.82440243131837e-05,-6.43327562978302e-05
7,PP,0.316,0.0100419695641023,0.0100453969926418,-6.20304358977374e-05,-5.86030073582346e-05
7,PP,0.318,0.0100476173584189,0.0100506160495808,-5.63826415811066e-05,-5.3383950419152e-05
7,PP,0.32,0.0100527491602123,0.0100553708859631,-5.12508397876969e-05,-4.86291140368595e-05
7,PP,0.322,0.0100574059748488,0.0100596938432526,-4.65940251512063e-05,-4.43061567474406e-05
7,PP,0.324,0.0100616377764974,0.0100636307444877,-4.23622235025765e-05,-4.03692555123163e-05
7,PP,0.326,0.0100654848613067,0.0100672173376788,-3.85151386933218e-05,-3.67826623212004e-05
7,PP,0.328,0.010068982261193,0.0100704849216867,-3.50177388070087e-05,-3.35150783132687e-05
7,PP,0.33,0.0100721626791673,0.0100734626107259,-3.18373208326658e-05,-3.05373892740875e-05
7,PP,0.332,0.0100750538937784,0.0100761757440927,-2.89461062215994e-05,-2.7824255907331e-05
7,PP,0.334,0.010077682199917,0.0100786474147673,-2.631780008297e-05,-2.53525852327435e-05
7,PP,0.336,0.0100800714315101,0.0100808994467177,-2.39285684899004e-05,-2.31005532823243e-05
7,PP,0.338,0.0100822424981713,0.010082950336032,-2.17575018287321e-05,-2.10496639679991e-05
7,PP,0.34,0.0100842167314069,0.0100848188124277,-1.97832685930755e-05,-1.91811875723431e-05
7,PP,0.342,0.0100860118246668,0.0100865213596732,-1.79881753331699e-05,-1.74786403267773e-05
7,PP,0.344,0.0100876439346032,0.0100880726830224,-1.6356065396848e-05,-1.59273169776427e-05
7,PP,0.346,0.0100891279245752,0.0100894862578416,-1.48720754248027e-05,-1.45137421584101e-05
7,PP,0.348,0.0100904772142061,0.010090774342648,-1.35227857938642e-05,-1.32256573519823e-05
7,PP,0.35,0.0100917040326051,0.0100919480468115,-1.22959673949392e-05,-1.20519531885462e-05
7,PP,0.352,0.0100928195492492,0.0100930175642705,-1.11804507508164e-05,-1.09824357295146e-05
7,PP,0.354,0.0100938338325648,0.0100939921638586,-1.01661674352122e-05,-1.0007836141428e-05
7,PP,0.356,0.0100947560683164,0.0100948802364232,-9.24393168363728e-06,-9.11976357678528e-06
7,PP,0.358,0.0100955946556878,0.0100956894888663,-8.40534431224664e-06,-8.31051113366413e-06
7,PP,0.36,0.0100963571594225,0.0100964269442664,-7.64284057751426e-06,-7.5730557335639e-06
7,PP,0.362,0.010097050468864,0.0100970989384115,-6.94953113603708e-06,-6.90106158849658e-06
7,PP,0.364,0.0100976809003008,0.0100977112896912,-6.31909969923093e-06,-6.28871030881363e-06
7,PP,0.366,0.0100982541551008,0.0100982693257352,-5.74584489915035e-06,-5.73067426482346e-06
7,PP,0.368,0.010098775389751,0.0100987778435388,-5.22461024898314e-06,-5.22215646122509e-06
7,PP,0.37,0.0100992493066015,0.0100992412231798,-4.75069339847707e-06,-4.75877682020419e-06
7,PP,0.372,0.0100996802179861,0.0100996634528323,-4.31978201391285e-06,-4.33654716773361e-06
7,PP,0.374,0.0101000720129514,0.0101000482089218,-3.92798704858081e-06,-3.95179107818069e-06
7,PP,0.376,0.0101004282429456,0.0101003987984363,-3.5717570544061e-06,-3.60120156374204e-06
7,PP,0.378,0.0101007521703656,0.0101007182617885,-3.24782963435563e-06,-3.28173821153264e-06
7,PP,0.38,0.0101010467637436,0.0101010093986283,-2.95323625635474e-06,-2.99060137167427e-06
7,PP,0.382,0.0101013145930813,0.0101012747369269,-2.68540691868158e-06,-2.72526307310353e-06
7,PP,0.384,0.0101015581178535,0.0101015164992836,-2.44188214647972e-06,-2.48350071637565e-06
7,PP,0.386,0.0101017795694101,0.0101017368024912,-2.22043058988562e-06,-2.2631975088467e-06
7,PP,0.388,0.0101019809492663,0.0101019375744709,-2.01905073371651e-06,-2.06242552912121e-06
7,PP,0.39,0.010102164013865,0.0101021205451066,-1.83598613503512e-06,-1.87945489338315e-06
7,PP,0.392,0.01010233045805,0.0101022872389742,-1.66954195002407e-06,-1.71276102582316e-06
7,PP,0.394,0.0101024818169694,0.010102439127606,-1.51818303055842e-06,-1.56087239398285e-06
7,PP,0.396,0.0101026194676254,0.0101025775499476,-1.38053237457546e-06,-1.42245005238344e-06
7,PP,0.398,0.0101027446294811,0.0101027037097251,-1.25537051893707e-06,-1.29629027487838e-06
7,PP,0.4,0.0101028584315608,0.0101028186735936,-1.14156843917905e-06,-1.18132640643601e-06
7,PP,0.402,0.0101029619144858,0.0101029234304446,-1.0380855142416e-06,-1.07656955537772e-06
7,PP,0.404,0.0101030560294108,0.0101030188937241,-9.43970589188659e-07,-9.81106275891458e-07
7,PP,0.406,0.0101031416164784,0.0101031059022576,-8.583835216288e-07,-8.94097742393588e-07
7,PP,0.408,0.0101032194347817,0.0101031852012627,-7.80565218259921e-07,-8.14798737279465e-07
7,PP,0.41,0.010103290187635,0.0101032574605096,-7.09812364952864e-07,-7.42539490424313e-07
7,PP,0.412,0.0101033545272703,0.0101033233016225,-6.45472729656274e-07,-6.7669837752922e-07
7,PP,0.414,0.0101034130480563,0.0101033833017008,-5.86951943744654e-07,-6.16698299238036e-07
7,PP,0.416,0.0101034662668685,0.0101034379918329,-5.33733131490022e-07,-5.62008167136197e-07
7,PP,0.418,0.0101035146530903,0.0101034878390013,-4.85346909729831e-07,-5.12160998727626e-07
7,PP,0.42,0.010103558644284,0.0101035332603704,-4.41355715976102e-07,-4.66739629620752e-07
7,PP,0.422,0.0101035986462284,0.0101035746454114,-4.01353771628879e-07,-4.25354588553042e-07
7,PP,0.424,0.0101036350320807,0.0101036123565311,-3.64967919296022e-07,-3.87643468885077e-07
7,PP,0.426,0.0101036681270204,0.0101036467290706,-3.31872979592376e-07,-3.53270929414132e-07
7,PP,0.428,0.0101036982173468,0.0101036780637531,-3.01782653203825e-07,-3.2193624693172e-07
7,PP,0.43,0.0101037255719079,0.0101037066193953,-2.7442809212401e-07,-2.93380604702437e-07
7,PP,0.432,0.0101037504411865,0.0101037326361476,-2.49558813461559e-07,-2.6736385236141e-07
7,PP,0.434,0.0101037730576738,0.0101037563393155,-2.26942326188306e-07,-2.4366068449716e-07
7,PP,0.436,0.0101037936339613,0.0101037779386059,-2.06366038674188e-07,-2.22061394095779e-07
7,PP,0.438,0.0101038123497066,0.0101037976284113,-1.8765029343587e-07,-2.02371588684663e-07
7,PP,0.44,0.0101038293654317,0.010103815580538,-1.70634568282327e-07,-1.84419461974131e-07
7,PP,0.442,0.0101038448322093,0.0101038319409473,-1.55167790715297e-07,-1.68059052672517e-07
7,PP,0.444,0.0101038588917216,0.0101038468458008,-1.4110827841092e-07,-1.53154199176997e-07
7,PP,0.446,0.0101038716762607,0.0101038604232538,-1.28323739303007e-07,-1.39576746235534e-07
7,PP,0.448,0.010103883308478,0.0101038727934551,-1.16691521999043e-07,-1.27206544934741e-07
7,PP,0.45,0.0101038938933405,0.0101038840685473,-1.06106659547231e-07,-1.15931452727633e-07
7,PP,0.452,0.0101039035188343,0.0101038943513172,-9.64811657493819e-08,-1.05648682758794e-07
7,PP,0.454,0.0101039122677332,0.0101039037264925,-8.77322668488972e-08,-9.62735074942073e-08
7,PP,0.456,0.0101039202182197,0.0101039122689633,-7.9781780336699e-08,-8.77310366974998e-08
7,PP,0.458,0.0101039274441561,0.0101039200497557,-7.25558438694623e-08,-7.99502443016992e-08
7,PP,0.46,0.0101039340149343,0.0101039271359513,-6.5985065716978e-08,-7.28640486766241e-08
7,PP,0.462,0.0101039399952678,0.0101039335910282,-6.00047322073249e-08,-6.64089718476618e-08
7,PP,0.464,0.0101039454397448,0.0101039394745586,-5.45602552182861e-08,-6.05254413584694e-08
7,PP,0.466,0.0101039503919714,0.0101039448418726,-4.96080286398193e-08,-5.51581273971341e-08
