source,theta_report_deg,offset_deg,memory,omega_rad_s,G_real_CT_per_rad,G_imag_CT_per_rad,static_slope_CT_per_rad
OFF,7,-1,PP,0.398107170553497,0.0530822946908607,0.000206847444100152,0.0530805398248293
OFF,7,-1,PP,0.421696503428582,0.0530825087996103,0.000219102001603899,0.0530805398248293
OFF,7,-1,PP,0.446683592150963,0.0530827490291019,0.000232082324635133,0.0530805398248293
OFF,7,-1,PP,0.473151258961481,0.0530830185653891,0.000245831349157895,0.0530805398248293
OFF,7,-1,PP,0.501187233627272,0.0530833209829827,0.000260394542373208,0.0530805398248293
OFF,7,-1,PP,0.530884444230988,0.0530836602921724,0.000275820050278181,0.0530805398248293
OFF,7,-1,PP,0.562341325190349,0.0530840409921016,0.000292158853511752,0.0530805398248293
OFF,7,-1,PP,0.59566214352901,0.0530844681302939,0.000309464931892133,0.0530805398248293
OFF,7,-1,PP,0.630957344480193,0.0530849473694104,0.000327795438058906,0.0530805398248293
OFF,7,-1,PP,0.668343917568615,0.0530854850621134,0.000347210880638025,0.0530805398248293
OFF,7,-1,PP,0.707945784384138,0.0530860883350132,0.000367775317350002,0.0530805398248293
OFF,7,-1,PP,0.749894209332456,0.0530867651827958,0.000389556558479455,0.0530805398248293
OFF,7,-1,PP,0.794328234724281,0.0530875245737553,0.000412626381116953,0.0530805398248293
OFF,7,-1,PP,0.841395141645195,0.0530883765681026,0.000437060754570372,0.0530805398248293
OFF,7,-1,PP,0.891250938133745,0.0530893324505838,0.00046294007732145,0.0530805398248293
OFF,7,-1,PP,0.944060876285923,0.0530904048791214,0.00049034942587194,0.0530805398248293
OFF,7,-1,PP,1,0.0530916080513918,0.000519378815780748,0.0530805398248293
OFF,7,-1,PP,1.05925372517729,0.0530929578914765,0.00055012347513608,0.0530805398248293
OFF,7,-1,PP,1.12201845430196,0.0530944722589716,0.000582684130631934,0.0530805398248293
OFF,7,-1,PP,1.18850222743702,0.0530961711832131,0.000617167306322751,0.0530805398248293
OFF,7,-1,PP,1.25892541179417,0.0530980771255809,0.000653685635009319,0.0530805398248293
OFF,7,-1,PP,1.33352143216332,0.0531002152731778,0.000692358182058308,0.0530805398248293
OFF,7,-1,PP,1.41253754462275,0.0531026138675491,0.00073331078127097,0.0530805398248293
OFF,7,-1,PP,1.49623565609443,0.0531053045725151,0.000776676382186769,0.0530805398248293
OFF,7,-1,PP,1.58489319246111,0.0531083228856309,0.000822595407926696,0.0530805398248293
OFF,7,-1,PP,1.67880401812256,0.0531117085982765,0.000871216122339211,0.0530805398248293
OFF,7,-1,PP,1.77827941003892,0.0531155063099045,0.000922695004797697,0.0530805398248293
OFF,7,-1,PP,1.8836490894898,0.0531197660025458,0.000977197130499005,0.0530805398248293
OFF,7,-1,PP,1.99526231496888,0.053124543682289,0.0010348965535124,0.0530805398248293
OFF,7,-1,PP,2.11348903983665,0.0531299020951036,0.00109597668910938,0.0530805398248293
OFF,7,-1,PP,2.23872113856834,0.053135911525077,0.00116063069104635,0.0530805398248293
OFF,7,-1,PP,2.37137370566166,0.0531426506838605,0.00122906181845032,0.0530805398248293
OFF,7,-1,PP,2.51188643150958,0.0531502077008806,0.00130148378574494,0.0530805398248293
OFF,7,-1,PP,2.66072505979881,0.0531586812246355,0.00137812108761901,0.0530805398248293
OFF,7,-1,PP,2.81838293126445,0.0531681816461636,0.00145920928934638,0.0530805398248293
OFF,7,-1,PP,2.98538261891796,0.0531788324565048,0.00154499527077517,0.0530805398248293
OFF,7,-1,PP,3.16227766016838,0.0531907717506477,0.00163573740997035,0.0530805398248293
