case_id,method,nonequilibrium_relative_RMSE,delta_CT_relative_RMSE,nonequilibrium_peak_relative_difference,single_run_seconds
55,SCHEDULED_EXACT,0.000434444101801557,7.31082279400358e-05,-0.000657156361043211,0.000402
55,QS,1,0.168279941278682,-1,0.0003396
56,DIRECT,0,0,0,0.4865003
56,LUT,0.000536848250894093,0.00010507296472158,0.000342452265711568,0.0072511
56,LTI_EXACT,0.143014626382228,0.0279910957472678,-0.0673532167083968,0.0005312
56,SCHEDULED_EXACT,0.000408452611403349,7.99431250021674e-05,-0.000657156361043211,0.0005393
56,QS,1,0.195721909397277,-1,0.0006006
57,DIRECT,0,0,0,1.0168313
57,LUT,0.000535186544908301,4.33444663135129e-05,0.000342452265711568,0.0087501
57,LTI_EXACT,0.340941688625126,0.027612681368916,-0.0304092223781266,0.0004967
57,SCHEDULED_EXACT,0.000436944727765055,3.53879151366269e-05,-0.000657156361043211,0.0008248
57,QS,1,0.0809894544731867,-1,0.0003912
58,DIRECT,0,0,0,0.9435014
58,LUT,0.000541428319479093,5.33216782056859e-05,0.000342452265711568,0.0071795
58,LTI_EXACT,0.280806841373416,0.027654800266218,-0.0304093002394292,0.0005902
58,SCHEDULED_EXACT,0.000423937946358998,4.17508319045486e-05,-0.000657156361043211,0.0005814
58,QS,1,0.0984833564985788,-1,0.0004446
59,DIRECT,0,0,0,1.3488048
59,LUT,0.000535186544939448,2.19883285987114e-05,0.000342452265711568,0.0102842
59,LTI_EXACT,0.670581357325529,0.0275510723811488,-0.0304092223703096,0.0005115
59,SCHEDULED_EXACT,0.000436944727689668,1.79520287697105e-05,-0.000657156361043211,0.001198
59,QS,1,0.0410853538950596,-1,0.0004313
60,DIRECT,0,0,0,1.1368256
60,LUT,0.000541428471437659,2.72507914626049e-05,0.000342452265711568,0.0113348
60,LTI_EXACT,0.547620076452769,0.027562422907914,-0.0304092223703096,0.0006379
60,SCHEDULED_EXACT,0.000423937950506046,2.13373424039718e-05,-0.000657156361043211,0.0007083
60,QS,1,0.0503312864028847,-1,0.0007056
61,DIRECT,0,0,0,0.5511077
61,LUT,0.000734183337729488,0.000122968071639944,-0.000780816332493021,0.0053966
61,LTI_EXACT,0.0564361125472543,0.00945246176827253,0.0352687957262062,0.0004551
61,SCHEDULED_EXACT,0.000248084789708007,4.15516215444743e-05,0.000557978399914963,0.0010693
61,QS,1,0.167489597380719,-1,0.0004297
62,DIRECT,0,0,0,0.5224367
62,LUT,0.000736987530542349,0.000143615579396914,-0.000780816332493021,0.0051451
62,LTI_EXACT,0.0491262122069085,0.00957314627084525,0.0352687957262062,0.0003983
62,SCHEDULED_EXACT,0.000243229654207956,4.73977730530672e-05,0.000557978399914963,0.0005215
62,QS,1,0.194868397964926,-1,0.0004973
63,DIRECT,0,0,0,0.6949451
63,LUT,0.000735802905169013,5.92758411449103e-05,0.000470490997080345,0.0080339
63,LTI_EXACT,0.113713921841012,0.0091607254057583,0.0337017736435336,0.000455
63,SCHEDULED_EXACT,0.000247304891400569,1.99227338653307e-05,-9.84905629782521e-05,0.0007554
63,QS,1,0.0805594007967319,-1,0.0006262
64,DIRECT,0,0,0,0.5766009
64,LUT,0.000739715426358422,7.2466356213746e-05,0.000470490662952873,0.0068672
64,LTI_EXACT,0.0939786047121468,0.00920663109470073,0.0337018539484997,0.0004681
64,SCHEDULED_EXACT,0.000238411474592535,2.33560234485305e-05,-9.84903315174606e-05,0.0004442
64,QS,1,0.0979651817868579,-1,0.0003559
65,DIRECT,0,0,0,1.0700647
65,LUT,0.000735802905213917,3.0066353667661e-05,0.000470490997076644,0.0101528
65,LTI_EXACT,0.222530858768249,0.00909304849747682,0.033701773635404,0.0005981
65,SCHEDULED_EXACT,0.000247304891383477,1.01053641884118e-05,-9.8490563214363e-05,0.0009535
65,QS,1,0.0408619665057179,-1,0.0004454
66,DIRECT,0,0,0,1.0910166
66,LUT,0.000739715540585024,3.70278400359568e-05,0.000470490997076644,0.0106551
