origin_s,horizon_s,target_s,input_shift_s,forcing_lower_g,forcing_upper_g,MSE_difference_lower_g2,MSE_difference_upper_g2
18.24944801799154,5.0,23.25563431790063,-0.03,-0.052409826310540544,-0.046373777358149376,-0.003468361421672438,-0.00220134563291969
18.24944801799154,5.0,23.25563431790063,0.0,-0.0524032089216721,-0.046520759420287786,-0.003468321067984133,-0.0022014256722867366
18.24944801799154,5.0,23.25563431790063,0.03,-0.05246268239979794,-0.046701224517290287,-0.0034686806013664653,-0.0022007031786208924
18.339986738760416,0.5,18.88701287160523,-0.03,-0.0021050711838780586,0.003456370126184896,-4.560868488111413e-05,7.242687263254771e-05
18.339986738760416,0.5,18.88701287160523,0.0,-0.0020091850748123023,0.003569802396072193,-4.409767707694679e-05,7.547806327576695e-05
18.339986738760416,0.5,18.88701287160523,0.03,-0.0019488344847807398,0.003599434959300249,-4.313722178956776e-05,7.627938270614822e-05
18.339986738760416,2.0,20.3413743839334,-0.03,-0.02913732827953336,-0.022847738419831974,-0.0008549980513927159,0.00022663178536935422
18.339986738760416,2.0,20.3413743839334,0.0,-0.028743750854742702,-0.022326987169128683,-0.0008549980513927159,0.0002121798053429193
18.339986738760416,2.0,20.3413743839334,0.03,-0.028316466362359252,-0.02149711374720904,-0.0008549980513927159,0.00019684085903572124
18.339986738760416,5.0,23.348326281179297,-0.03,-0.05214309978167137,-0.046298077164137405,-0.0030673259693906165,-0.0017830662134367026
18.339986738760416,5.0,23.348326281179297,0.0,-0.05224404689216417,-0.0462721432596232,-0.0030673714619234133,-0.0017811477418815844
18.339986738760416,5.0,23.348326281179297,0.03,-0.05234533907762116,-0.046281066679102034,-0.0030673966247064238,-0.0017792022270131716
18.430320388814074,0.5,18.97847441059259,-0.03,-0.0024233704455527217,0.002989702121324849,-5.7533211110188216e-05,5.408919867939112e-05
18.430320388814074,0.5,18.97847441059259,0.0,-0.002322745921381054,0.0032099331761042756,-6.083394452446974e-05,5.147966821268562e-05
18.430320388814074,0.5,18.97847441059259,0.03,-0.002201394270645564,0.003341705343867551,-6.276250791551257e-05,5.399284043133746e-05
18.430320388814074,2.0,20.434373953284897,-0.03,-0.030184281989251185,-0.024104486981695254,-0.0007781358130220007,0.00023712681852099772
18.430320388814074,2.0,20.434373953284897,0.0,-0.02976039632832011,-0.0237749853642536,-0.0007781358130220007,0.0002213368437018679
18.430320388814074,2.0,20.434373953284897,0.03,-0.029479921922121337,-0.023330444711873826,-0.0007781358130220007,0.0002110865722441179
18.430320388814074,5.0,23.439992890881875,-0.03,-0.05177076597725437,-0.04603788945768645,-0.0027295590993813698,-0.0013625561169192343
18.430320388814074,5.0,23.439992890881875,0.0,-0.05193477695391947,-0.046119634080060555,-0.0027295590993813698,-0.0013586220217721642
18.430320388814074,5.0,23.439992890881875,0.03,-0.0520622497861981,-0.04620160840305067,-0.0027295590993813698,-0.0013555272027743113
18.51983375600686,0.5,19.069833414222344,-0.03,-0.002601584279736476,0.0026449087005340696,-4.5199120449162185e-05,4.426333880547414e-05
18.51983375600686,0.5,19.069833414222344,0.0,-0.0026098850198204944,0.0026531604698533853,-4.529646751570778e-05,4.44485005329745e-05
18.51983375600686,0.5,19.069833414222344,0.03,-0.002528118998630437,0.002766628078984406,-4.662124667285744e-05,4.2630581246620174e-05
18.51983375600686,2.0,20.523374643689635,-0.03,-0.03187249898166308,-0.025086939452292005,-0.0006126825100769817,0.00035147859138864374
18.51983375600686,2.0,20.523374643689635,0.0,-0.03105313451740375,-0.02473068991422018,-0.0006128610551510776,0.00031770500771268736
18.51983375600686,2.0,20.523374643689635,0.03,-0.03061203470735551,-0.024429108233686075,-0.0006128663063466606,0.00030007919762044743
18.51983375600686,5.0,23.531659500584453,-0.03,-0.05129769095124754,-0.04567314044389004,-0.002281110214681184,-0.0009348839536405259
18.51983375600686,5.0,23.531659500584453,0.0,-0.05146021034591576,-0.04581791457033577,-0.002281110214681184,-0.0009301334043697449
18.51983375600686,5.0,23.531659500584453,0.03,-0.05162324201519985,-0.045922104774347564,-0.002281110214681184,-0.0009253148058401264
18.611397830351837,0.5,19.160269599633608,-0.03,-0.0027494261489273766,0.002497639946156982,-3.02536869283715e-05,3.750751359339384e-05
18.611397830351837,0.5,19.160269599633608,0.0,-0.0026498316079976297,0.0026137888046480345,-3.113071502963947e-05,3.9282383362946735e-05
18.611397830351837,0.5,19.160269599633608,0.03,-0.00259324814502665,0.002636504858818889,-3.129908715872747e-05,3.968680704163294e-05
18.611397830351837,2.0,20.61545139482265,-0.03,-0.035075266924982036,-0.02671956878216051,-0.0006567210449060131,0.00047013017066709106
18.611397830351837,2.0,20.61545139482265,0.0,-0.033874692147517795,-0.026028269607398766,-0.0006578521431448121,0.0004142857524136788
18.611397830351837,2.0,20.61545139482265,0.03,-0.032908705203320635,-0.02557410546323022,-0.0006580750145553241,0.00037144599551931757
