pole,loss,kappa
0.13467217456613328,6.481574839785523e-05,0.013044974552032575
0.13800551284122772,6.754494408114566e-05,0.013117995163516168
0.1414213562373095,7.047037653957206e-05,0.013190153107371243
0.1449217468798479,7.359212894211738e-05,0.01326142602509122
0.1485087774399798,7.690987381364836e-05,0.013331795548113552
0.15218459238559112,8.042287376068491e-05,0.013401247363412415
0.15595138926336355,8.412998440168745e-05,0.013469771249915139
0.15981142001255477,8.802965942912436e-05,0.013537361085660593
0.16376699231129602,9.211995770400642e-05,0.013604014826044215
0.16782047095621286,9.639855225911202e-05,0.013669734453919833
0.17197427927619371,0.0001008627410653092,0.013734525902744144
0.1762309005811509,0.00010550945939669687,0.013798398954347138
0.18059287964664109,0.00011033529361514249,0.01386136711328243
0.18506282423523213,0.00011533649618349142,0.013923447460047603
0.1896434066555259,0.00012050900170948332,0.01398466048575905
0.19433736535976986,0.00012584844381933623,0.01404502991111246
0.19914750658101096,0.00013135017266103794,0.014104582492653554
0.20407670601077232,0.00013700927284251974,0.014163347819520266
0.2091279105182546,0.00014282058161883802,0.014221358103894487
0.2143041399120906,0.0001487787071549642,0.014278647968416996
0.21960848874570482,0.00015487804670635217,0.014335254233773867
0.22504412816735994,0.0001611128045776622,0.014391215709556975
0.2306143078159937,0.00016747700974029993,0.014446572991338245
0.23632235776398025,0.000173964533011216,0.014501368266680323
0.24217169050797935,0.00018056910371807764,0.014555645132540507
0.2481658030090599,0.00018728432579883075,0.01460944842621543
0.2543082787833218,0.00019410369330622547,0.014662824071628484
0.26060279004426207,0.00020102060530944032,0.01471581894238664
0.26705309989816844,0.00020802838020498698,0.014768480742637455
0.27366306459385287,0.00021512026946707725,0.014820857906347832
0.2804366358280677,0.00022228947088315015,0.014872999515212771
0.28737786310798635,0.0002295291413329433,0.01492495523499379
0.29449089617215735,0.00023683240917904863,0.014976775269690651
0.3017799874713808,0.0002441923863431647,0.015028510332576024
0.3092494947109918,0.00025160218014514904,0.015080211632777441
0.3169038834560665,0.00025905490498149945,0.015131930875782296
0.324747729801114,0.0002665436939161953,0.015183720275975927
0.33278572310584464,0.0002740617102500762,0.015235632579105316
0.34102266879865323,0.0002816021591254723,0.015287721092396147
0.3494634912494944,0.0002891582992109621,0.015340039719941875
0.3581132367138629,0.0002967234544973803,0.015392643000931922
0.36697707634964505,0.00030429102622102,0.015445586148292702
0.3760603093086394,0.00031185450491388156,0.01549892508537834
0.38536836590459755,0.00031940748256437264,0.015552716478466143
0.39490681085968066,0.00032694366485559517,0.015607017762980534
0.40468134663126737,0.00033445688343279075,0.015661887161583548
0.41469781682110846,0.00034194110813715267,0.015717383692524407
0.42496220966886117,0.0003493904591304898,0.015773567166926985
0.4354806616320934,0.00035679921882452955,0.01583049817400558
0.44625946105490133,0.00036416184352027717,0.01588823805352679
0.4573050519273263,0.0003714729746570293,0.015946848855170472
0.4686240377378274,0.00037872744956752837,0.01600639328477708
0.48022318542110576,0.00038592031163535944,0.016066934637792938
0.49210942940364316,0.0003930468197530302,0.01612853672053242
0.5042898757493768,0.0004001024569840983,0.01619126376015828
0.5167718064079816,0.0004070829383400267,0.01625518030453253
0.5295626835683077,0.00041398421759191643,0.016320351113305494
0.5426701541195695,0.0004208024930485517,0.016386841041784582
0.5561020542229561,0.00042753421224496317,0.0164547149192556
0.5698664139963981,0.00043417607549959137,0.016524037423515457
0.5839714623152857,0.0004407250383127115,0.016594872953415357
0.5984256317320162,0.0004471783125936973,0.016667285501210435
0.613237563517304,0.0004535333667195577,0.016741338526465088
0.628416112826271,0.00045978792444164245,0.01681709483317806
0.6439703539924091,0.0004659399626711575,0.016894616451669956
0.6599095859525708,0.00047198770818687014,0.016973964526623725
0.6762433378062412,0.00047792963331991836,0.017055199212490678
0.6929813745124076,0.00048376445068074297,0.01713837957727534
0.7101337027274347,0.0004894911070017376,0.017223563515499304
0.7277105767874396,0.0004951087761761704,0.017310807670920247
0.7457225048387343,0.0005006168515792099,0.01740016736935549
0.7641802551200112,0.0005060149377605466,0.017491696561732998
0.7830948624000185,0.0005113028416001224,0.017585447777272598
0.8024776345745772,0.0005164805630190105,0.01768147208649028
0.8223401594268892,0.0005215482853365797,0.017779819073522697
0.8426943115551657,0.0005265063653628987,0.01788053681709063
0.8635522594717322,0.0005313553233120221,0.017983671879261944
0.8849264728778423,0.0005360958326175041,0.018089269301038543
0.9068297301185536,0.0005407287097263863,0.018197372603679096
0.9292751258221285,0.0005452549039421541,0.018308023794581813
0.9522760787285133,0.0005496754873809287,0.018421263376487803
0.9758463397115925,0.0005539916450985958,0.018537130358727446
1.0,0.0005582046654398338,0.018655662269217586
