time_s,fullAccelerationDown,reducedAccelerationDown,fullRotor1AeroThrust,reducedRotor1AeroThrust
1.055,-0.195630731765157,-0.195630731765155,30000.9569461147,30000.9569461147
1.06,-0.196313135874549,-0.196313135874545,30001.097487175,30001.097487175
1.065,-0.196734417791614,-0.196734417791611,30001.2873600803,30001.2873600803
1.07,-0.196862356015121,-0.196862356015119,30001.4569819254,30001.4569819254
1.075,-0.196692910994293,-0.196692910994289,30001.5441476802,30001.5441476802
1.08,-0.196248323316491,-0.196248323316488,30001.4988663043,30001.4988663043
1.085,-0.195573071446442,-0.195573071446442,30001.2867446513,30001.2867446513
1.09,-0.194728213125791,-0.194728213125791,30000.8907400239,30000.8907400239
1.095,-0.193784732932822,-0.193784732932821,30000.3112593514,30000.3112593514
1.1,-0.192816556571904,-0.192816556571904,29999.5647279258,29999.5647279258
1.105,-0.191893863973778,-0.191893863973775,29998.6808746216,29998.6808746216
1.11,-0.19107727108825,-0.19107727108825,29997.6990754459,29997.6990754459
1.115,-0.190413304234854,-0.190413304234857,29996.6641463462,29996.6641463462
1.12,-0.189931469259407,-0.18993146925941,29995.6219988508,29995.6219988508
1.125,-0.189643039016637,-0.189643039016641,29994.6155475182,29994.6155475182
1.13,-0.189541528375054,-0.189541528375057,29993.6812061389,29993.6812061389
1.135,-0.189604680500097,-0.1896046805001,29992.8462312499,29992.8462312499
1.14,-0.189797670007718,-0.18979767000772,29992.1270771408,29992.1270771408
1.145,-0.190077145281975,-0.190077145281973,29991.5288243469,29991.5288243469
1.15,-0.190395694188269,-0.190395694188267,29991.0456463006,29991.0456463006
1.155,-0.19070630331993,-0.190706303319925,29990.6621898187,29990.6621898187
1.16,-0.190966427356164,-0.190966427356158,29990.3556762441,29990.3556762441
1.165,-0.19114134435321,-0.191141344353205,29990.0984830406,29990.0984830406
1.17,-0.191206557358709,-0.191206557358707,29989.8609398366,29989.8609398366
1.175,-0.191149114294318,-0.191149114294312,29989.614080687,29989.614080687
1.18,-0.190967814345153,-0.190967814345147,29989.3321146384,29989.3321146384
1.185,-0.190672372320474,-0.190672372320471,29988.9944215704,29988.9944215704
1.19,-0.190281698341251,-0.190281698341251,29988.5869368899,29988.5869368899
1.195,-0.189821512472791,-0.189821512472796,29988.1028545254,29988.1028545254
1.2,-0.189321556307595,-0.189321556307602,29987.542639654,29987.542639654
1.205,-0.188812677183938,-0.188812677183943,29986.9134068627,29986.9134068627
1.21,-0.188324046704631,-0.18832404670464,29986.2277669586,29986.2277669586
1.215,-0.187880753201568,-0.187880753201578,29985.502288059,29985.502288059
1.22,-0.187501936794418,-0.187501936794429,29984.7557324595,29984.7557324595
1.225,-0.187199597480462,-0.18719959748047,29984.0072458431,29984.0072458431
