time_s,fullAccelerationDown,reducedAccelerationDown,fullRotor1AeroThrust,reducedRotor1AeroThrust
0.42,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.425,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.43,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.435,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.44,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.445,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.45,-1.44182394677468e-15,-1.44182394677468e-15,29419.95,29419.95
0.455,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.46,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.465,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.47,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.475,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.48,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.485,-1.67301117947155e-15,-1.67301117947155e-15,29419.95,29419.95
0.49,-2.92802758554027e-15,-2.92802758554027e-15,29419.95,29419.95
0.495,-1.44182394677468e-15,-1.44182394677468e-15,29419.95,29419.95
0.5,0.0436889144298629,0.043688914429863,30391.0542560543,30391.0542560543
0.505,0.0220212421576224,0.0220212421576224,30245.067904668,30245.067904668
0.51,-0.0279432502298691,-0.0279432502298661,30141.8711871865,30141.8711871865
0.515,-0.097817375078393,-0.0978173750783945,30076.4444648181,30076.4444648181
0.52,-0.178559787484817,-0.178559787484821,30043.3399728025,30043.3399728025
0.525,-0.26118934424551,-0.261189344245508,30036.6240920785,30036.6240920785
0.53,-0.337470020912238,-0.337470020912239,30049.9864570923,30049.9864570923
0.535,-0.400503725811194,-0.4005037258112,30076.9702919796,30076.9702919797
0.54,-0.445181824931778,-0.445181824931778,30111.2758161227,30111.2758161227
0.545,-0.468462753520267,-0.468462753520269,30147.0893440156,30147.0893440156
0.55,-0.469461137426716,-0.469461137426718,30179.3947550031,30179.3947550031
0.555,-0.44935174416408,-0.449351744164084,30204.2309880873,30204.2309880873
0.56,-0.411107804241461,-0.411107804241462,30218.8684930756,30218.8684930756
0.565,-0.359106535351015,-0.359106535351016,30221.8882841187,30221.8882841187
0.57,-0.298644136509585,-0.298644136509588,30213.1583949134,30213.1583949134
0.575,-0.235407594941391,-0.235407594941393,30193.7131109972,30193.7131109971
0.58,-0.174951226708367,-0.174951226708367,30165.5494349791,30165.5494349791
0.585,-0.122222286223898,-0.122222286223897,30131.3621608557,30131.3621608557
0.59,-0.0811727593284265,-0.0811727593284225,30094.24321501,30094.2432150099
0.595,-0.0544845759354114,-0.0544845759354057,30057.372503446,30057.372503446
0.6,-0.0434238879898986,-0.0434238879898946,30023.7264697176,30023.7264697176
0.605,-0.0478279262113805,-0.0478279262113776,29995.8273125684,29995.8273125684
0.61,-0.0662163252225647,-0.0662163252225602,29975.5508104426,29975.5508104426
0.615,-0.0960086671237211,-0.0960086671237199,29964.0045580624,29964.0045580624
0.62,-0.13382210849168,-0.133822108491684,29961.481724069,29961.481724069
0.625,-0.175817858313011,-0.175817858313011,29967.4887857701,29967.4887857701
0.63,-0.218063216370274,-0.218063216370273,29980.8396126373,29980.8396126373
0.635,-0.256876827476175,-0.256876827476174,29999.8032027596,29999.8032027596
0.64,-0.28912849874661,-0.289128498746608,30022.2886781807,30022.2886781807
0.645,-0.312470831405984,-0.31247083140599,30046.0490554068,30046.0490554068
0.65,-0.325487377023705,-0.325487377023709,30068.8849005695,30068.8849005695
0.655,-0.32775030128635,-0.327750301286355,30088.8302258023,30088.8302258023
0.66,-0.319788836782639,-0.31978883678264,30104.3056818466,30104.3056818466
0.665,-0.302977416727307,-0.302977416727313,30114.2279413232,30114.2279413232
0.67,-0.279358693948488,-0.279358693948491,30118.0687387505,30118.0687387505
0.675,-0.251421205424105,-0.251421205424113,30115.8618815591,30115.8618815591
0.68,-0.221853990833231,-0.221853990833234,30108.1612161615,30108.1612161615
0.685,-0.193300893089189,-0.193300893089191,30095.9566031906,30095.9566031906
0.69,-0.168135749915821,-0.168135749915827,30080.558125793,30080.558125793
0.695,-0.14827639198592,-0.148276391985922,30063.4607744871,30063.4607744871
0.7,-0.135050797528148,-0.135050797528152,30046.2026636728,30046.2026636728
0.705,-0.129123338216479,-0.12912333821648,30030.2294530123,30030.2294530123
0.71,-0.130483324078458,-0.130483324078459,30016.7761966672,30016.7761966672
0.715,-0.138492537942245,-0.138492537942242,30006.7755458524,30006.7755458524
0.72,-0.151983591903085,-0.151983591903079,30000.7983411869,30000.7983411869
0.725,-0.169397123227939,-0.169397123227933,29999.0294382265,29999.0294382265
0.73,-0.18894331500181,-0.188943315001803,30001.2784048524,30001.2784048524
0.735,-0.208772142462859,-0.208772142462855,30007.0217741534,30007.0217741534
0.74,-0.227137049423103,-0.227137049423096,30015.4710651749,30015.4710651749
0.745,-0.242538398457648,-0.242538398457641,30025.6589634489,30025.6589634489
0.75,-0.253835717870043,-0.253835717870039,30036.5350107514,30036.5350107514
0.755,-0.260321217473949,-0.260321217473944,30047.0619058956,30047.0619058956
0.76,-0.261750914472307,-0.261750914472303,30056.3040692401,30056.3040692401
0.765,-0.25833361355405,-0.258333613554047,30063.5013456323,30063.5013456323
0.77,-0.250681608704953,-0.250681608704956,30068.1224918501,30068.1224918501
0.775,-0.239730003950147,-0.239730003950155,30069.8952103997,30069.8952103997
0.78,-0.226633780172582,-0.226633780172586,30068.8117470092,30068.8117470092
0.785,-0.212653027272398,-0.212653027272406,30065.1112602329,30065.1112602329
0.79,-0.199037029615247,-0.199037029615255,30059.2420937575,30059.2420937575
0.795,-0.186917320137687,-0.186917320137697,30051.8086211895,30051.8086211895
0.8,-0.177218255709049,-0.177218255709057,30043.5083196128,30043.5083196128
0.805,-0.170591638938604,-0.170591638938611,30035.0651877667,30035.0651877667
0.81,-0.167379353255559,-0.167379353255566,30027.1655033711,30027.1655033711
0.815,-0.1676052978068,-0.167605297806806,30020.4012902328,30020.4012902328
0.82,-0.170995294867659,-0.170995294867664,30015.2258234311,30015.2258234311
0.825,-0.177021322367249,-0.177021322367252,30011.9241664011,30011.9241664011
0.83,-0.184964577642536,-0.184964577642533,30010.6002314595,30010.6002314595
0.835,-0.193990635925462,-0.193990635925453,30011.1803347923,30011.1803347923
0.84,-0.203229384611693,-0.203229384611687,30013.4318024084,30013.4318024084
0.845,-0.211852517723918,-0.211852517723909,30016.9939934762,30016.9939934762
0.85,-0.219142063037165,-0.219142063037158,30021.4182109709,30021.4182109709
0.855,-0.224544666391518,-0.224544666391509,30026.2124580502,30026.2124580502
