origin_index,origin_time_s,requested_horizon_s,target_time_s,initial_observed_g,target_observed_g,source_known_g,hold_current_g,source_future_command_held_g,prefix_fit_known_g
4,18.430320388814074,0.5,18.97847441059259,0.0009672502067794,-0.0004026221708786,0.0013567444258536737,0.0009672502067794,0.0009131507984920603,0.0014586852193599227
4,18.430320388814074,2.0,20.434373953284897,0.0009672502067794,-0.0168356221503716,-0.025983986701260658,0.0009672502067794,0.0007837041450261729,-0.03184405706865678
4,18.430320388814074,5.0,23.439992890881875,0.0009672502067794,-0.0445488786049723,-0.04845560428885549,0.0009672502067794,0.0005716012281344983,-0.060840248899135634
5,18.51983375600686,0.5,19.069833414222344,-0.0032968535316595,-0.0006309342338217,-0.0030902159146617243,-0.0032968535316595,-0.0031118536396782456,-0.003103943382842725
5,18.51983375600686,2.0,20.523374643689635,-0.0032968535316595,-0.0222207791320041,-0.030563296362712208,-0.0032968535316595,-0.002671384146900233,-0.036776765904947675
5,18.51983375600686,5.0,23.531659500584453,-0.0032968535316595,-0.0441045587219994,-0.05058691369498805,-0.0032968535316595,-0.0019478512368622913,-0.06308642365797398
6,18.611397830351837,0.5,19.160269599633608,-0.0030767442973254,-0.0028771421345128,-0.002922460981064543,-0.0030767442973254,-0.002904439579389773,-0.0029433110078467104
6,18.611397830351837,2.0,20.61545139482265,-0.0030767442973254,-0.0208796166544764,-0.03244438006951762,-0.0030767442973254,-0.002492899192059301,-0.03912633421124527
6,18.611397830351837,5.0,23.62486414065117,-0.0030767442973254,-0.0402970791094463,-0.049980728619782554,-0.0030767442973254,-0.0018174929091977422,-0.06241560504360982
7,18.7051151472066,0.5,19.2520387446938,0.001851788558421,-0.0022086116029012,0.0013789700233853444,0.001851788558421,0.0017484417848882628,0.0013119007443093051
7,18.7051151472066,2.0,20.794273058493005,0.001851788558421,-0.0298562454286321,-0.03523897165096257,0.001851788558421,0.001487044182733424,-0.04334595596062919
7,18.7051151472066,5.0,23.716838356426575,0.001851788558421,-0.0391801272805572,-0.04651351441225564,0.001851788558421,0.001094087872973482,-0.05870372455739317
8,18.796781756909184,0.5,19.344730707972467,0.0022961084413941,0.0004778147664585,0.0011382658011850199,0.0022961084413941,0.0021677311510134977,0.0009314611009679989
